"Relative Time (Process)","ConvNext_Large_Base - system/gpu.0.powerWatts","ConvNext_Large_Base - system/gpu.0.powerWatts__MIN","ConvNext_Large_Base - system/gpu.0.powerWatts__MAX"
"1341.046904214","626.501","626.501","626.501"
"1351.051844277","622.697","622.697","622.697"
"1361.088440827","625.852","625.852","625.852"
"1371.046490867","635.893","635.893","635.893"
"1381.046288443","628.335","628.335","628.335"
"1391.052406694","633.663","633.663","633.663"
"1401.083200079","669.93","669.93","669.93"
"1411.107344788","145.605","145.605","145.605"
"1421.085828256","141.667","141.667","141.667"
"1431.047764897","621.785","621.785","621.785"
"1441.046681184","626.062","626.062","626.062"
"1451.047344562","636.374","636.374","636.374"
"1461.105572088","641.205","641.205","641.205"
"1471.046777442","628.715","628.715","628.715"
"1481.046202266","632.166","632.166","632.166"
"1491.083486389","628.51","628.51","628.51"
"1501.046604426","644.746","644.746","644.746"
"1511.1017716","624.527","624.527","624.527"
"1521.115077371","631.853","631.853","631.853"
"1531.046488682","623.679","623.679","623.679"
"1541.046704226","626.659","626.659","626.659"
"1551.054303405","144.318","144.318","144.318"
"1561.049041992","171.736","171.736","171.736"
"1571.046970406","622.102","622.102","622.102"
"1581.100072277","620.463","620.463","620.463"
"1591.118609563","622.374","622.374","622.374"
"1601.092805677","631.346","631.346","631.346"
"1611.068163788","617.198","617.198","617.198"
"1621.046952787","627.597","627.597","627.597"
"1631.099983136","639.258","639.258","639.258"
"1641.046933758","644.885","644.885","644.885"
"1651.046136267","632.481","632.481","632.481"
"1661.085121274","631.464","631.464","631.464"
"1671.046758461","638.087","638.087","638.087"
"1681.046430896","148.763","148.763","148.763"
"1691.046400517","142.49","142.49","142.49"
"1701.046595708","611.185","611.185","611.185"
"1711.093386979","622.494","622.494","622.494"
"1721.046310725","622.658","622.658","622.658"
"1731.046548925","625.939","625.939","625.939"
"1741.082755533","629.975","629.975","629.975"
"1751.046063876","619.091","619.091","619.091"
"1761.046365341","627.524","627.524","627.524"
"1771.097776055","625.129","625.129","625.129"
"1781.046647051","631.127","631.127","631.127"
"1791.046684642","633.27","633.27","633.27"
"1801.051343307","634.04","634.04","634.04"
"1811.046921775","626.923","626.923","626.923"
"1821.059210417","148.198","148.198","148.198"
"1831.110153958","142.055","142.055","142.055"
"1841.116366914","614.362","614.362","614.362"
"1851.04651581","618.494","618.494","618.494"
"1861.046433495","619.249","619.249","619.249"
"1871.048288002","618.679","618.679","618.679"
"1881.082392537","636.202","636.202","636.202"
"1891.046177813","635.55","635.55","635.55"
"1901.045997705","632.34","632.34","632.34"
"1911.050537714","634.412","634.412","634.412"
"1921.046236183","629.686","629.686","629.686"
"1931.059254913","636.831","636.831","636.831"
"1941.08830099","632.144","632.144","632.144"
"1951.046635869","626.116","626.116","626.116"
"1961.104004827","145.686","145.686","145.686"
"1971.047286032","142.114","142.114","142.114"
"1981.048373265","615.309","615.309","615.309"
"1991.046964184","615.582","615.582","615.582"
"2001.046509416","631.342","631.342","631.342"
"2011.047525994","631.9","631.9","631.9"
"2021.060245135","630.002","630.002","630.002"
"2031.046836493","635.902","635.902","635.902"
"2041.046400798","641.083","641.083","641.083"
"2051.065158728","634.22","634.22","634.22"
"2061.046332105","632.27","632.27","632.27"
"2071.04623475","635.02","635.02","635.02"
"2081.046569239","632.267","632.267","632.267"
"2091.059201019","439.08","439.08","439.08"
"2101.047093","146.004","146.004","146.004"
"2111.056981966","139.848","139.848","139.848"
"2121.106699638","601.289","601.289","601.289"
"2131.052234308","606.661","606.661","606.661"
"2141.073685004","617.761","617.761","617.761"
"2151.046364524","625.719","625.719","625.719"
"2161.114569029","617.612","617.612","617.612"
"2171.048077322","625.228","625.228","625.228"
"2181.046958196","625.606","625.606","625.606"
"2191.046486085","639.226","639.226","639.226"
"2201.118698538","639.441","639.441","639.441"
"2211.05339587","638.378","638.378","638.378"
"2221.046598375","640.104","640.104","640.104"
"2231.048372721","668.135","668.135","668.135"
"2241.046908022","144.245","144.245","144.245"
"2251.047275152","140.968","140.968","140.968"
"2261.047005155","627.063","627.063","627.063"
"2271.047924515","615.488","615.488","615.488"
"2281.110852608","605.797","605.797","605.797"
"2291.046586559","633.039","633.039","633.039"
"2301.057639473","636.271","636.271","636.271"
"2311.078036334","638.653","638.653","638.653"
"2321.046468831","637.812","637.812","637.812"
"2331.046871225","644.613","644.613","644.613"
"2341.066339115","639.528","639.528","639.528"
"2351.046477376","643.06","643.06","643.06"
"2361.046748505","637.879","637.879","637.879"
"2371.082687301","148.902","148.902","148.902"
"2381.046535202","143.871","143.871","143.871"
"2391.09313575","612.001","612.001","612.001"
"2401.046787985","619.28","619.28","619.28"
"2411.076037841","626.979","626.979","626.979"
"2421.081924362","622.587","622.587","622.587"
"2431.046565007","623.234","623.234","623.234"
"2441.046154977","626.292","626.292","626.292"
"2451.088848409","620.081","620.081","620.081"
"2461.052248145","630.308","630.308","630.308"
"2471.046799593","626.319","626.319","626.319"
"2481.046275513","633.083","633.083","633.083"
"2491.067729409","638.674","638.674","638.674"
"2501.04594224","647.857","647.857","647.857"
"2511.078568071","147.277","147.277","147.277"
"2521.046912167","142.785","142.785","142.785"
"2531.054963189","606.939","606.939","606.939"
"2541.046608164","627.462","627.462","627.462"
"2551.114287352","625.076","625.076","625.076"
"2561.046724807","611.359","611.359","611.359"
"2571.106143819","628.353","628.353","628.353"
"2581.057684828","628.967","628.967","628.967"
"2591.046808906","638.138","638.138","638.138"
"2601.110785674","641.364","641.364","641.364"
"2611.045994559","637.905","637.905","637.905"
"2621.046102785","636.172","636.172","636.172"
"2631.076896514","639.599","639.599","639.599"
"2641.058371528","442.929","442.929","442.929"
"2651.046269989","145.522","145.522","145.522"
"2661.089254955","141.753","141.753","141.753"
"2671.115075048","626.852","626.852","626.852"
"2681.064410684","625.308","625.308","625.308"
"2691.046995792","619.418","619.418","619.418"
"2701.046562955","633.089","633.089","633.089"
"2711.046953072","636.276","636.276","636.276"
"2721.115912885","630.105","630.105","630.105"
"2731.046586764","617.271","617.271","617.271"
"2741.046581806","635.015","635.015","635.015"
"2751.103264044","633.436","633.436","633.436"
"2761.086731245","635.224","635.224","635.224"
"2771.054521658","634.661","634.661","634.661"
"2781.047205048","673.09","673.09","673.09"
"2791.046129289","144.605","144.605","144.605"
"2801.064613124","140.41","140.41","140.41"
"2811.046485295","626.692","626.692","626.692"
"2821.046894805","606.619","606.619","606.619"
"2831.048626317","610.945","610.945","610.945"
"2841.084858167","627.314","627.314","627.314"
"2851.046450288","624.648","624.648","624.648"
"2861.046540434","630.695","630.695","630.695"
"2871.046664276","628.277","628.277","628.277"
"2881.1081565","629.051","629.051","629.051"
"2891.046239215","639.981","639.981","639.981"
"2901.045982892","628.362","628.362","628.362"
"2911.046407058","643.033","643.033","643.033"
"2921.095405865","676.094","676.094","676.094"
"2931.046024111","144.365","144.365","144.365"
"2941.051031859","139.906","139.906","139.906"
"2951.11469272","620.084","620.084","620.084"
"2961.062190059","618.487","618.487","618.487"
"2971.046691482","633.655","633.655","633.655"
"2981.048932056","632.05","632.05","632.05"
"2991.050864756","618.927","618.927","618.927"
"3001.046820062","614.283","614.283","614.283"
"3011.046859806","630.856","630.856","630.856"
"3021.059650571","633.395","633.395","633.395"
"3031.06433982","632.763","632.763","632.763"
"3041.046051029","630.034","630.034","630.034"
"3051.046498043","637.375","637.375","637.375"
"3061.0693276","436.458","436.458","436.458"
"3071.046388827","145.205","145.205","145.205"
"3081.056364193","141.456","141.456","141.456"
"3091.059369386","617.545","617.545","617.545"
"3101.088201649","614.745","614.745","614.745"
"3111.050517044","615.061","615.061","615.061"
"3121.04603868","626.854","626.854","626.854"
"3131.098170617","638.429","638.429","638.429"
"3141.046677761","623.52","623.52","623.52"
"3151.046509055","632.739","632.739","632.739"
"3161.118103304","627.391","627.391","627.391"
"3171.04596777","627.91","627.91","627.91"
"3181.045863417","634.926","634.926","634.926"
"3191.049072005","633.742","633.742","633.742"
"3201.077971116","669.837","669.837","669.837"
"3211.112068888","144.887","144.887","144.887"
"3221.046877096","140.475","140.475","140.475"
"3231.088655741","617.144","617.144","617.144"
"3241.049236361","620.409","620.409","620.409"
"3251.046364515","626.247","626.247","626.247"
"3261.046863825","632.284","632.284","632.284"
"3271.053860635","615.97","615.97","615.97"
"3281.046726097","614.782","614.782","614.782"
"3291.054754052","619.149","619.149","619.149"
"3301.102393715","622.459","622.459","622.459"
"3311.07116568","638.551","638.551","638.551"
"3321.05323871","633.037","633.037","633.037"
"3331.046824148","630.609","630.609","630.609"
"3341.10344656","673.608","673.608","673.608"
"3351.083060012","144.826","144.826","144.826"
"3361.046076716","140.511","140.511","140.511"
"3371.046960022","612.906","612.906","612.906"
"3381.045992653","622.948","622.948","622.948"
"3391.049941781","633.584","633.584","633.584"
"3401.057720775","627.171","627.171","627.171"
"3411.046812085","627.571","627.571","627.571"
"3421.115084955","641.238","641.238","641.238"
"3431.051405702","634.747","634.747","634.747"
"3441.096171639","635.408","635.408","635.408"
"3451.103925831","630.927","630.927","630.927"
"3461.046505683","622.948","622.948","622.948"
"3471.04625781","634.773","634.773","634.773"
