"epoch","ResNet_18_Base - _step","ResNet_18_Base - _step__MIN","ResNet_18_Base - _step__MAX","ResNet_18_Base - train_loss_epoch","ResNet_18_Base - train_loss_epoch__MIN","ResNet_18_Base - train_loss_epoch__MAX","ResNet_18_Base - val_loss_epoch","ResNet_18_Base - val_loss_epoch__MIN","ResNet_18_Base - val_loss_epoch__MAX"
"0","302.5","302","303","2.042417526245117","2.042417526245117","2.042417526245117","0.02107914723455906","0.02107914723455906","0.02107914723455906"
"1","606.5","606","607","0.036325208842754364","0.036325208842754364","0.036325208842754364","0.01528913527727127","0.01528913527727127","0.01528913527727127"
"2","910.5","910","911","0.03438940644264221","0.03438940644264221","0.03438940644264221","0.013405374251306057","0.013405374251306057","0.013405374251306057"
"3","1214.5","1214","1215","0.025471776723861694","0.025471776723861694","0.025471776723861694","0.02481016330420971","0.02481016330420971","0.02481016330420971"
"4","1518.5","1518","1519","0.023361818864941597","0.023361818864941597","0.023361818864941597","0.09088785201311111","0.09088785201311111","0.09088785201311111"
"5","1822.5","1822","1823","0.0135633684694767","0.0135633684694767","0.0135633684694767","0.00852073635905981","0.00852073635905981","0.00852073635905981"
"6","2126.5","2126","2127","0.01431015133857727","0.01431015133857727","0.01431015133857727","0.01615070179104805","0.01615070179104805","0.01615070179104805"
"7","2430.5","2430","2431","0.013621725142002106","0.013621725142002106","0.013621725142002106","0.012609520927071571","0.012609520927071571","0.012609520927071571"
"8","2734.5","2734","2735","0.02496389113366604","0.02496389113366604","0.02496389113366604","0.010192757472395897","0.010192757472395897","0.010192757472395897"
"9","3038.5","3038","3039","0.014992195181548595","0.014992195181548595","0.014992195181548595","0.017129089683294296","0.017129089683294296","0.017129089683294296"
"10","3342.5","3342","3343","0.012077096849679947","0.012077096849679947","0.012077096849679947","0.020560747012495995","0.020560747012495995","0.020560747012495995"
"11","3646.5","3646","3647","0.01323146466165781","0.01323146466165781","0.01323146466165781","0.02732914686203003","0.02732914686203003","0.02732914686203003"
"12","3950.5","3950","3951","0.015589439310133457","0.015589439310133457","0.015589439310133457","0.012879672460258007","0.012879672460258007","0.012879672460258007"
"13","4254.5","4254","4255","0.011517236940562725","0.011517236940562725","0.011517236940562725","0.0072210864163935184","0.0072210864163935184","0.0072210864163935184"
"14","4558.5","4558","4559","0.012188338674604893","0.012188338674604893","0.012188338674604893","0.029760513454675674","0.029760513454675674","0.029760513454675674"
"15","4862.5","4862","4863","0.012812025845050812","0.012812025845050812","0.012812025845050812","0.009396904148161411","0.009396904148161411","0.009396904148161411"
"16","5166.5","5166","5167","0.012711725197732449","0.012711725197732449","0.012711725197732449","0.008104556240141392","0.008104556240141392","0.008104556240141392"
"17","5470.5","5470","5471","0.013165812939405441","0.013165812939405441","0.013165812939405441","0.00876168254762888","0.00876168254762888","0.00876168254762888"
