"epoch","ENetB0_Base - _step","ENetB0_Base - _step__MIN","ENetB0_Base - _step__MAX","ENetB0_Base - train_loss_epoch","ENetB0_Base - train_loss_epoch__MIN","ENetB0_Base - train_loss_epoch__MAX","ENetB0_Base - val_loss_epoch","ENetB0_Base - val_loss_epoch__MIN","ENetB0_Base - val_loss_epoch__MAX"
"43","13374.5","13374","13375","0.0281963050365448","0.0281963050365448","0.0281963050365448","0.005446845665574074","0.005446845665574074","0.005446845665574074"
"44","13678.5","13678","13679","0.02780057303607464","0.02780057303607464","0.02780057303607464","0.005607476457953453","0.005607476457953453","0.005607476457953453"
"45","13982.5","13982","13983","0.02710576355457306","0.02710576355457306","0.02710576355457306","0.004848130978643894","0.004848130978643894","0.004848130978643894"
"46","14286.5","14286","14287","0.02787899039685726","0.02787899039685726","0.02787899039685726","0.0058265188708901405","0.0058265188708901405","0.0058265188708901405"
"47","14590.5","14590","14591","0.02828384004533291","0.02828384004533291","0.02828384004533291","0.004724007099866867","0.004724007099866867","0.004724007099866867"
"48","14894.5","14894","14895","0.026887837797403336","0.026887837797403336","0.026887837797403336","0.0047678155824542046","0.0047678155824542046","0.0047678155824542046"
"49","15198.5","15198","15199","0.02814432978630066","0.02814432978630066","0.02814432978630066","0.004789719823747873","0.004789719823747873","0.004789719823747873"
"50","15502.5","15502","15503","0.0274057537317276","0.0274057537317276","0.0274057537317276","0.0045852805487811565","0.0045852805487811565","0.0045852805487811565"
"51","15806.5","15806","15807","0.027385693043470383","0.027385693043470383","0.027385693043470383","0.004935747478157282","0.004935747478157282","0.004935747478157282"
"52","16110.5","16110","16111","0.027568059042096138","0.027568059042096138","0.027568059042096138","0.004964953288435936","0.004964953288435936","0.004964953288435936"
"53","16414.5","16414","16415","0.02700272761285305","0.02700272761285305","0.02700272761285305","0.005841121543198824","0.005841121543198824","0.005841121543198824"
"54","16718.5","16718","16719","0.02750423178076744","0.02750423178076744","0.02750423178076744","0.005089077167212963","0.005089077167212963","0.005089077167212963"
"55","17022.5","17022","17023","0.02677021361887455","0.02677021361887455","0.02677021361887455","0.004782418254762888","0.004782418254762888","0.004782418254762888"
"56","17326.5","17326","17327","0.027530673891305923","0.027530673891305923","0.027530673891305923","0.004709404427558184","0.004709404427558184","0.004709404427558184"
"57","17630.5","17630","17631","0.02706199698150158","0.02706199698150158","0.02706199698150158","0.004570677410811186","0.004570677410811186","0.004570677410811186"
"58","17934.5","17934","17935","0.02709026262164116","0.02709026262164116","0.02709026262164116","0.0045560747385025024","0.0045560747385025024","0.0045560747385025024"
"59","18238.5","18238","18239","0.02686048299074173","0.02686048299074173","0.02686048299074173","0.004453855101019144","0.004453855101019144","0.004453855101019144"
"60","18542.5","18542","18543","0.02700546383857727","0.02700546383857727","0.02700546383857727","0.004636390134692192","0.004636390134692192","0.004636390134692192"
"61","18846.5","18846","18847","0.02586386166512966","0.02586386166512966","0.02586386166512966","0.004264018498361111","0.004264018498361111","0.004264018498361111"
"62","19150.5","19150","19151","0.02716320939362049","0.02716320939362049","0.02716320939362049","0.004242114257067442","0.004242114257067442","0.004242114257067442"
"63","19454.5","19454","19455","0.02779874950647354","0.02779874950647354","0.02779874950647354","0.0042202104814350605","0.0042202104814350605","0.0042202104814350605"
"64","19758.5","19758","19759","0.027254391461610794","0.027254391461610794","0.027254391461610794","0.004950350616127253","0.004950350616127253","0.004950350616127253"
"65","20062.5","20062","20063","0.026861395686864853","0.026861395686864853","0.026861395686864853","0.004891939461231232","0.004891939461231232","0.004891939461231232"
"66","20366.5","20366","20367","0.027479611337184906","0.027479611337184906","0.027479611337184906","0.004877336323261261","0.004877336323261261","0.004877336323261261"
"67","20670.5","20670","20671","0.0261501744389534","0.0261501744389534","0.0261501744389534","0.0044100466184318066","0.0044100466184318066","0.0044100466184318066"
"68","20974.5","20974","20975","0.027030082419514656","0.027030082419514656","0.027030082419514656","0.005417640320956707","0.005417640320956707","0.005417640320956707"
"69","21278.5","21278","21279","0.026986315846443176","0.026986315846443176","0.026986315846443176","0.00489924056455493","0.00489924056455493","0.00489924056455493"
"70","21582.5","21582","21583","0.02719421125948429","0.02719421125948429","0.02719421125948429","0.004643691703677177","0.004643691703677177","0.004643691703677177"
"71","21886.5","21886","21887","0.026234060525894165","0.026234060525894165","0.026234060525894165","0.004293224308639765","0.004293224308639765","0.004293224308639765"
"72","22190.5","22190","22191","0.026056256145238876","0.026056256145238876","0.026056256145238876","0.004964953288435936","0.004964953288435936","0.004964953288435936"
"73","22494.5","22494","22495","0.026773860678076744","0.026773860678076744","0.026773860678076744","0.004278621636331081","0.004278621636331081","0.004278621636331081"
"74","22798.5","22798","22799","0.027227036654949188","0.027227036654949188","0.027227036654949188","0.0045560747385025024","0.0045560747385025024","0.0045560747385025024"
"75","23102.5","23102","23103","0.027645563706755638","0.027645563706755638","0.027645563706755638","0.004870035219937563","0.004870035219937563","0.004870035219937563"
"76","23406.5","23406","23407","0.02648116461932659","0.02648116461932659","0.02648116461932659","0.004256717395037413","0.004256717395037413","0.004256717395037413"
"77","23710.5","23710","23711","0.02658146619796753","0.02658146619796753","0.02658146619796753","0.0045560747385025024","0.0045560747385025024","0.0045560747385025024"
"78","24014.5","24014","24015","0.025946836918592453","0.025946836918592453","0.025946836918592453","0.004475759342312813","0.004475759342312813","0.004475759342312813"
"79","24318.5","24318","24319","0.02642645686864853","0.02642645686864853","0.02642645686864853","0.004249415826052427","0.004249415826052427","0.004249415826052427"
"80","24622.5","24622","24623","0.02582738734781742","0.02582738734781742","0.02582738734781742","0.004417348187416792","0.004417348187416792","0.004417348187416792"
"81","24926.5","24926","24927","0.027667447924613953","0.027667447924613953","0.027667447924613953","0.004242114257067442","0.004242114257067442","0.004242114257067442"
"82","25230.5","25230","25231","0.026201235130429268","0.026201235130429268","0.026201235130429268","0.004453855101019144","0.004453855101019144","0.004453855101019144"
"83","25534.5","25534","25535","0.028106946498155594","0.028106946498155594","0.028106946498155594","0.004293224308639765","0.004293224308639765","0.004293224308639765"
"84","25838.5","25838","25839","0.027615472674369812","0.027615472674369812","0.027615472674369812","0.004351635463535786","0.004351635463535786","0.004351635463535786"
"85","26142.5","26142","26143","0.027497848495841026","0.027497848495841026","0.027497848495841026","0.004475759342312813","0.004475759342312813","0.004475759342312813"
"86","26446.5","26446","26447","0.026715504005551338","0.026715504005551338","0.026715504005551338","0.004278621636331081","0.004278621636331081","0.004278621636331081"
"87","26750.5","26750","26751","0.025934072211384773","0.025934072211384773","0.025934072211384773","0.004395443946123123","0.004395443946123123","0.004395443946123123"
"88","27054.5","27054","27055","0.02666170708835125","0.02666170708835125","0.02666170708835125","0.004271320067346096","0.004271320067346096","0.004271320067346096"
"89","27358.5","27358","27359","0.026820363476872444","0.026820363476872444","0.026820363476872444","0.004512266255915165","0.004512266255915165","0.004512266255915165"
"90","27662.5","27662","27663","0.026376305148005486","0.026376305148005486","0.026376305148005486","0.004242114257067442","0.004242114257067442","0.004242114257067442"
"91","27966.5","27966","27967","0.026769300922751427","0.026769300922751427","0.026769300922751427","0.004490362014621496","0.004490362014621496","0.004490362014621496"
"92","28270.5","28270","28271","0.027215182781219482","0.027215182781219482","0.027215182781219482","0.0044976635836064816","0.0044976635836064816","0.0044976635836064816"
"93","28574.5","28574","28575","0.02651216648519039","0.02651216648519039","0.02651216648519039","0.0043443338945508","0.0043443338945508","0.0043443338945508"
"94","28878.5","28878","28879","0.02679574489593506","0.02679574489593506","0.02679574489593506","0.004548773169517517","0.004548773169517517","0.004548773169517517"
"95","29182.5","29182","29183","0.026737388223409653","0.026737388223409653","0.026737388223409653","0.00430052587762475","0.00430052587762475","0.00430052587762475"
"96","29486.5","29486","29487","0.027537057176232338","0.027537057176232338","0.027537057176232338","0.004694801289588213","0.004694801289588213","0.004694801289588213"
"97","29790.5","29790","29791","0.0273127481341362","0.0273127481341362","0.0273127481341362","0.004256717395037413","0.004256717395037413","0.004256717395037413"
"98","30094.5","30094","30095","0.02683221735060215","0.02683221735060215","0.02683221735060215","0.004351635463535786","0.004351635463535786","0.004351635463535786"
"99","30398.5","30398","30399","0.027556205168366432","0.027556205168366432","0.027556205168366432","0.004066880792379379","0.004066880792379379","0.004066880792379379"
"100","30702.5","30702","30703","0.026579642668366432","0.026579642668366432","0.026579642668366432","0.004307826980948448","0.004307826980948448","0.004307826980948448"
"101","31006.5","31006","31007","0.02683221735060215","0.02683221735060215","0.02683221735060215","0.004840829409658909","0.004840829409658909","0.004840829409658909"
"102","31310.5","31310","31311","0.02649666555225849","0.02649666555225849","0.02649666555225849","0.004373539704829454","0.004373539704829454","0.004373539704829454"
"103","31614.5","31614","31615","0.02710120566189289","0.02710120566189289","0.02710120566189289","0.0044100466184318066","0.0044100466184318066","0.0044100466184318066"
"104","31918.5","31918","31919","0.026719151064753532","0.026719151064753532","0.026719151064753532","0.004716705530881882","0.004716705530881882","0.004716705530881882"
"105","32222.5","32222","32223","0.027013670653104782","0.027013670653104782","0.027013670653104782","0.004183703102171421","0.004183703102171421","0.004183703102171421"
"106","32526.5","32526","32527","0.025693349540233612","0.025693349540233612","0.025693349540233612","0.004548773169517517","0.004548773169517517","0.004548773169517517"
"107","32830.5","32830","32831","0.02727901004254818","0.02727901004254818","0.02727901004254818","0.004256717395037413","0.004256717395037413","0.004256717395037413"
"108","33134.5","33134","33135","0.027412137016654015","0.027412137016654015","0.027412137016654015","0.004534170497208834","0.004534170497208834","0.004534170497208834"
"109","33438.5","33438","33439","0.026229502633213997","0.026229502633213997","0.026229502633213997","0.004366238135844469","0.004366238135844469","0.004366238135844469"
"110","33742.5","33742","33743","0.026246827095746994","0.026246827095746994","0.026246827095746994","0.0043151285499334335","0.0043151285499334335","0.0043151285499334335"
"111","34046.5","34046","34047","0.027206065133213997","0.027206065133213997","0.027206065133213997","0.00438084127381444","0.00438084127381444","0.00438084127381444"
"112","34350.5","34350","34351","0.027692977339029312","0.027692977339029312","0.027692977339029312","0.004431950859725475","0.004431950859725475","0.004431950859725475"
"113","34654.5","34654","34655","0.02623314969241619","0.02623314969241619","0.02623314969241619","0.004424649756401777","0.004424649756401777","0.004424649756401777"
"114","34958.5","34958","34959","0.02576538361608982","0.02576538361608982","0.02576538361608982","0.004512266255915165","0.004512266255915165","0.004512266255915165"
"115","35262.5","35262","35263","0.02599789947271347","0.02599789947271347","0.02599789947271347","0.004541472066193819","0.004541472066193819","0.004541472066193819"
"116","35566.5","35566","35567","0.026523109525442123","0.026523109525442123","0.026523109525442123","0.004242114257067442","0.004242114257067442","0.004242114257067442"
"117","35870.5","35870","35871","0.026765653863549232","0.026765653863549232","0.026765653863549232","0.004249415826052427","0.004249415826052427","0.004249415826052427"
"118","36174.5","36174","36175","0.026224032044410706","0.026224032044410706","0.026224032044410706","0.004483060911297798","0.004483060911297798","0.004483060911297798"
"119","36478.5","36478","36479","0.027097558602690697","0.027097558602690697","0.027097558602690697","0.004271320067346096","0.004271320067346096","0.004271320067346096"
"120","36782.5","36782","36783","0.026250474154949188","0.026250474154949188","0.026250474154949188","0.004161798860877752","0.004161798860877752","0.004161798860877752"
"121","37086.5","37086","37087","0.026833128184080124","0.026833128184080124","0.026833128184080124","0.004329731222242117","0.004329731222242117","0.004329731222242117"
"122","37390.5","37390","37391","0.025392448529601097","0.025392448529601097","0.025392448529601097","0.004264018498361111","0.004264018498361111","0.004264018498361111"
"123","37694.5","37694","37695","0.026285123080015182","0.026285123080015182","0.026285123080015182","0.004629088565707207","0.004629088565707207","0.004629088565707207"
"124","37998.5","37998","37999","0.026138320565223694","0.026138320565223694","0.026138320565223694","0.0043443338945508","0.0043443338945508","0.0043443338945508"
"125","38302.5","38302","38303","0.026906074956059456","0.026906074956059456","0.026906074956059456","0.0042202104814350605","0.0042202104814350605","0.0042202104814350605"
"126","38606.5","38606","38607","0.026763830333948135","0.026763830333948135","0.026763830333948135","0.004461156670004129","0.004461156670004129","0.004461156670004129"
"127","38910.5","38910","38911","0.027360163629055023","0.027360163629055023","0.027360163629055023","0.004351635463535786","0.004351635463535786","0.004351635463535786"
"128","39214.5","39214","39215","0.026241356506943703","0.026241356506943703","0.026241356506943703","0.0043151285499334335","0.0043151285499334335","0.0043151285499334335"
"129","39518.5","39518","39519","0.02666170708835125","0.02666170708835125","0.02666170708835125","0.0042275115847587585","0.0042275115847587585","0.0042275115847587585"
"130","39822.5","39822","39823","0.027368368580937386","0.027368368580937386","0.027368368580937386","0.0044100466184318066","0.0044100466184318066","0.0044100466184318066"
"131","40126.5","40126","40127","0.02739845961332321","0.02739845961332321","0.02739845961332321","0.004621787462383509","0.004621787462383509","0.004621787462383509"
"132","40430.5","40430","40431","0.026332538574934006","0.026332538574934006","0.026332538574934006","0.004512266255915165","0.004512266255915165","0.004512266255915165"
"133","40734.5","40734","40735","0.027203328907489777","0.027203328907489777","0.027203328907489777","0.0042202104814350605","0.0042202104814350605","0.0042202104814350605"
"134","41038.5","41038","41039","0.0272352434694767","0.0272352434694767","0.0272352434694767","0.004424649756401777","0.004424649756401777","0.004424649756401777"
"135","41342.5","41342","41343","0.026867778971791267","0.026867778971791267","0.026867778971791267","0.004782418254762888","0.004782418254762888","0.004782418254762888"
"136","41646.5","41646","41647","0.027854371815919876","0.027854371815919876","0.027854371815919876","0.004935747478157282","0.004935747478157282","0.004935747478157282"
"137","41950.5","41950","41951","0.02709573321044445","0.02709573321044445","0.02709573321044445","0.00420560734346509","0.00420560734346509","0.00420560734346509"
"138","42254.5","42254","42255","0.026293329894542694","0.026293329894542694","0.026293329894542694","0.004256717395037413","0.004256717395037413","0.004256717395037413"
"139","42558.5","42558","42559","0.025503691285848618","0.025503691285848618","0.025503691285848618","0.0042202104814350605","0.0042202104814350605","0.0042202104814350605"
"140","42862.5","42862","42863","0.026720063760876656","0.026720063760876656","0.026720063760876656","0.004512266255915165","0.004512266255915165","0.004512266255915165"
"141","43166.5","43166","43167","0.025996075943112373","0.025996075943112373","0.025996075943112373","0.004322430118918419","0.004322430118918419","0.004322430118918419"
"142","43470.5","43470","43471","0.026311567053198814","0.026311567053198814","0.026311567053198814","0.004234813153743744","0.004234813153743744","0.004234813153743744"
"143","43774.5","43774","43775","0.027249831706285477","0.027249831706285477","0.027249831706285477","0.004490362014621496","0.004490362014621496","0.004490362014621496"
"144","44078.5","44078","44079","0.026226766407489777","0.026226766407489777","0.026226766407489777","0.004373539704829454","0.004373539704829454","0.004373539704829454"
"145","44382.5","44382","44383","0.02634895034134388","0.02634895034134388","0.02634895034134388","0.004439252428710461","0.004439252428710461","0.004439252428710461"
"146","44686.5","44686","44687","0.026430103927850723","0.026430103927850723","0.026430103927850723","0.004417348187416792","0.004417348187416792","0.004417348187416792"
"147","44990.5","44990","44991","0.02673647552728653","0.02673647552728653","0.02673647552728653","0.004388142377138138","0.004388142377138138","0.004388142377138138"
"148","45294.5","45294","45295","0.02767474204301834","0.02767474204301834","0.02767474204301834","0.004373539704829454","0.004373539704829454","0.004373539704829454"
"149","45598.5","45598","45599","0.026693619787693024","0.026693619787693024","0.026693619787693024","0.00438084127381444","0.00438084127381444","0.00438084127381444"
"150","45902.5","45902","45903","0.027017317712306976","0.027017317712306976","0.027017317712306976","0.004526868928223848","0.004526868928223848","0.004526868928223848"
"151","46206.5","46206","46207","0.02692248858511448","0.02692248858511448","0.02692248858511448","0.004242114257067442","0.004242114257067442","0.004242114257067442"
"152","46510.5","46510","46511","0.027206065133213997","0.027206065133213997","0.027206065133213997","0.0044684577733278275","0.0044684577733278275","0.0044684577733278275"
"153","46814.5","46814","46815","0.027547085657715797","0.027547085657715797","0.027547085657715797","0.004366238135844469","0.004366238135844469","0.004366238135844469"
"154","47118.5","47118","47119","0.026435574516654015","0.026435574516654015","0.026435574516654015","0.004395443946123123","0.004395443946123123","0.004395443946123123"
"155","47422.5","47422","47423","0.026631616055965424","0.026631616055965424","0.026631616055965424","0.004512266255915165","0.004512266255915165","0.004512266255915165"
"156","47726.5","47726","47727","0.026880543678998947","0.026880543678998947","0.026880543678998947","0.0042859227396547794","0.0042859227396547794","0.0042859227396547794"
"157","48030.5","48030","48031","0.027362897992134094","0.027362897992134094","0.027362897992134094","0.004388142377138138","0.004388142377138138","0.004388142377138138"
"158","48334.5","48334","48335","0.026015223935246468","0.026015223935246468","0.026015223935246468","0.0044976635836064816","0.0044976635836064816","0.0044976635836064816"
"159","48638.5","48638","48639","0.027661975473165512","0.027661975473165512","0.027661975473165512","0.004526868928223848","0.004526868928223848","0.004526868928223848"
"160","48942.5","48942","48943","0.026562318205833435","0.026562318205833435","0.026562318205833435","0.0044027455151081085","0.0044027455151081085","0.0044027455151081085"
"161","49246.5","49246","49247","0.026929782703518867","0.026929782703518867","0.026929782703518867","0.004694801289588213","0.004694801289588213","0.004694801289588213"
"162","49550.5","49550","49551","0.02643922157585621","0.02643922157585621","0.02643922157585621","0.004329731222242117","0.004329731222242117","0.004329731222242117"
"163","49854.5","49854","49855","0.026473870500922203","0.026473870500922203","0.026473870500922203","0.0045560747385025024","0.0045560747385025024","0.0045560747385025024"
"164","50158.5","50158","50159","0.026424631476402283","0.026424631476402283","0.026424631476402283","0.004212908912450075","0.004212908912450075","0.004212908912450075"
"165","50462.5","50462","50463","0.025454452261328697","0.025454452261328697","0.025454452261328697","0.00451956782490015","0.00451956782490015","0.00451956782490015"
"166","50766.5","50766","50767","0.026142878457903862","0.026142878457903862","0.026142878457903862","0.0044027455151081085","0.0044027455151081085","0.0044027455151081085"
"167","51070.5","51070","51071","0.027196034789085388","0.027196034789085388","0.027196034789085388","0.004439252428710461","0.004439252428710461","0.004439252428710461"
"168","51374.5","51374","51375","0.026378128677606583","0.026378128677606583","0.026378128677606583","0.004242114257067442","0.004242114257067442","0.004242114257067442"
"169","51678.5","51678","51679","0.02715500257909298","0.02715500257909298","0.02715500257909298","0.0042859227396547794","0.0042859227396547794","0.0042859227396547794"
