"epoch","ResNet_50_Base - _step","ResNet_50_Base - _step__MIN","ResNet_50_Base - _step__MAX","ResNet_50_Base - train_loss_epoch","ResNet_50_Base - train_loss_epoch__MIN","ResNet_50_Base - train_loss_epoch__MAX","ResNet_50_Base - val_loss_epoch","ResNet_50_Base - val_loss_epoch__MIN","ResNet_50_Base - val_loss_epoch__MAX"
"0","302.5","302","303","1.3421982526779175","1.3421982526779175","1.3421982526779175","0.04062499850988388","0.04062499850988388","0.04062499850988388"
"1","606.5","606","607","0.030339088290929794","0.030339088290929794","0.030339088290929794","0.021290887147188187","0.021290887147188187","0.021290887147188187"
"2","910.5","910","911","0.02985217608511448","0.02985217608511448","0.02985217608511448","0.028789427131414413","0.028789427131414413","0.028789427131414413"
"3","1214.5","1214","1215","0.022966086864471436","0.022966086864471436","0.022966086864471436","0.05092727765440941","0.05092727765440941","0.05092727765440941"
"4","1518.5","1518","1519","0.023107420653104782","0.023107420653104782","0.023107420653104782","0.012361273169517517","0.012361273169517517","0.012361273169517517"
"5","1822.5","1822","1823","0.020971929654479027","0.020971929654479027","0.020971929654479027","0.037667933851480484","0.037667933851480484","0.037667933851480484"
"6","2126.5","2126","2127","0.018672313541173935","0.018672313541173935","0.018672313541173935","0.0075861564837396145","0.0075861564837396145","0.0075861564837396145"
"7","2430.5","2430","2431","0.025255674496293068","0.025255674496293068","0.025255674496293068","0.05086156725883484","0.05086156725883484","0.05086156725883484"
"8","2734.5","2734","2735","0.017199719324707985","0.017199719324707985","0.017199719324707985","0.04669976606965065","0.04669976606965065","0.04669976606965065"
"9","3038.5","3038","3039","0.014855421148240566","0.014855421148240566","0.014855421148240566","0.028884345665574074","0.028884345665574074","0.028884345665574074"
"10","3342.5","3342","3343","0.0204148069024086","0.0204148069024086","0.0204148069024086","0.01594626158475876","0.01594626158475876","0.01594626158475876"
"11","3646.5","3646","3647","0.01813889667391777","0.01813889667391777","0.01813889667391777","0.013230140320956707","0.013230140320956707","0.013230140320956707"
