"epoch","ENetB7_Base - _step","ENetB7_Base - _step__MIN","ENetB7_Base - _step__MAX","ENetB7_Base - train_loss_epoch","ENetB7_Base - train_loss_epoch__MIN","ENetB7_Base - train_loss_epoch__MAX","ENetB7_Base - val_loss_epoch","ENetB7_Base - val_loss_epoch__MIN","ENetB7_Base - val_loss_epoch__MAX"
"0","302.5","302","303","2.29931378364563","2.29931378364563","2.29931378364563","2.903015375137329","2.903015375137329","2.903015375137329"
"1","606.5","606","607","0.12075181305408478","0.12075181305408478","0.12075181305408478","1.4952248334884644","1.4952248334884644","1.4952248334884644"
"2","910.5","910","911","0.12091594189405441","0.12091594189405441","0.12091594189405441","2.659557580947876","2.659557580947876","2.659557580947876"
"3","1214.5","1214","1215","0.1155288964509964","0.1155288964509964","0.1155288964509964","1.6967508792877197","1.6967508792877197","1.6967508792877197"
"4","1518.5","1518","1519","0.10820695757865906","0.10820695757865906","0.10820695757865906","2.0367259979248047","2.0367259979248047","2.0367259979248047"
"5","1822.5","1822","1823","0.11192263662815094","0.11192263662815094","0.11192263662815094","1.4971743822097778","1.4971743822097778","1.4971743822097778"
"6","2126.5","2126","2127","0.11756590753793716","0.11756590753793716","0.11756590753793716","5.551905632019043","5.551905632019043","5.551905632019043"
"7","2430.5","2430","2431","0.11651639640331268","0.11651639640331268","0.11651639640331268","3.9420268535614014","3.9420268535614014","3.9420268535614014"
"8","2734.5","2734","2735","0.11210591346025467","0.11210591346025467","0.11210591346025467","0.5038989782333374","0.5038989782333374","0.5038989782333374"
"9","3038.5","3038","3039","0.10477941483259201","0.10477941483259201","0.10477941483259201","14.55010986328125","14.55010986328125","14.55010986328125"
"10","3342.5","3342","3343","0.1104600727558136","0.1104600727558136","0.1104600727558136","6.126810550689697","6.126810550689697","6.126810550689697"
"11","3646.5","3646","3647","0.10064064711332321","0.10064064711332321","0.10064064711332321","1.8229628801345825","1.8229628801345825","1.8229628801345825"
"12","3950.5","3950","3951","0.09427612274885178","0.09427612274885178","0.09427612274885178","1.278037428855896","1.278037428855896","1.278037428855896"
"13","4254.5","4254","4255","0.07927937060594559","0.07927937060594559","0.07927937060594559","0.37969478964805603","0.37969478964805603","0.37969478964805603"
"14","4558.5","4558","4559","0.0871812254190445","0.0871812254190445","0.0871812254190445","2.0396173000335693","2.0396173000335693","2.0396173000335693"
"15","4862.5","4862","4863","0.08341904729604721","0.08341904729604721","0.08341904729604721","0.7154789566993713","0.7154789566993713","0.7154789566993713"
"16","5166.5","5166","5167","0.0967608392238617","0.0967608392238617","0.0967608392238617","0.47137120366096497","0.47137120366096497","0.47137120366096497"
"17","5470.5","5470","5471","0.08451049774885178","0.08451049774885178","0.08451049774885178","1.4392377138137817","1.4392377138137817","1.4392377138137817"
"18","5774.5","5774","5775","0.08779305964708328","0.08779305964708328","0.08779305964708328","0.4932827055454254","0.4932827055454254","0.4932827055454254"
"19","6078.5","6078","6079","0.08251725137233734","0.08251725137233734","0.08251725137233734","1.4803811311721802","1.4803811311721802","1.4803811311721802"
"20","6382.5","6382","6383","0.07988116890192032","0.07988116890192032","0.07988116890192032","0.3772999346256256","0.3772999346256256","0.3772999346256256"
"21","6686.5","6686","6687","0.08300507813692093","0.08300507813692093","0.08300507813692093","1.6502408981323242","1.6502408981323242","1.6502408981323242"
"22","6990.5","6990","6991","0.07856176048517227","0.07856176048517227","0.07856176048517227","0.5321042537689209","0.5321042537689209","0.5321042537689209"
"23","7294.5","7294","7295","0.07689495384693146","0.07689495384693146","0.07689495384693146","1.515055537223816","1.515055537223816","1.515055537223816"
"24","7598.5","7598","7599","0.07256470620632172","0.07256470620632172","0.07256470620632172","0.6210061311721802","0.6210061311721802","0.6210061311721802"
"25","7902.5","7902","7903","0.07791528105735779","0.07791528105735779","0.07791528105735779","0.6726051568984985","0.6726051568984985","0.6726051568984985"
"26","8206.5","8206","8207","0.07964865863323212","0.07964865863323212","0.07964865863323212","1.5214077234268188","1.5214077234268188","1.5214077234268188"
"27","8510.5","8510","8511","0.0757259950041771","0.0757259950041771","0.0757259950041771","2.180497884750366","2.180497884750366","2.180497884750366"
"28","8814.5","8814","8815","0.07366527616977692","0.07366527616977692","0.07366527616977692","1.941537618637085","1.941537618637085","1.941537618637085"
"29","9118.5","9118","9119","0.08241421729326248","0.08241421729326248","0.08241421729326248","2.413347005844116","2.413347005844116","2.413347005844116"
"30","9422.5","9422","9423","0.07357773929834366","0.07357773929834366","0.07357773929834366","6.205541610717773","6.205541610717773","6.205541610717773"
"31","9726.5","9726","9727","0.07436555624008179","0.07436555624008179","0.07436555624008179","1.3984959125518799","1.3984959125518799","1.3984959125518799"
"32","10030.5","10030","10031","0.05741749703884125","0.05741749703884125","0.05741749703884125","0.9238682985305786","0.9238682985305786","0.9238682985305786"
"33","10334.5","10334","10335","0.05689958110451698","0.05689958110451698","0.05689958110451698","0.9020808935165405","0.9020808935165405","0.9020808935165405"
"34","10638.5","10638","10639","0.05324408411979675","0.05324408411979675","0.05324408411979675","0.5523145198822021","0.5523145198822021","0.5523145198822021"
"35","10942.5","10942","10943","0.05559658631682396","0.05559658631682396","0.05559658631682396","1.0446407794952393","1.0446407794952393","1.0446407794952393"
"36","11246.5","11246","11247","0.05648743733763695","0.05648743733763695","0.05648743733763695","0.7280154824256897","0.7280154824256897","0.7280154824256897"
"37","11550.5","11550","11551","0.05579262971878052","0.05579262971878052","0.05579262971878052","0.545283317565918","0.545283317565918","0.545283317565918"
"38","11854.5","11854","11855","0.05306992679834366","0.05306992679834366","0.05306992679834366","0.49301254749298096","0.49301254749298096","0.49301254749298096"
"39","12158.5","12158","12159","0.05099735036492348","0.05099735036492348","0.05099735036492348","0.5930344462394714","0.5930344462394714","0.5930344462394714"
"40","12462.5","12462","12463","0.05235961452126503","0.05235961452126503","0.05235961452126503","0.788763165473938","0.788763165473938","0.788763165473938"
"41","12766.5","12766","12767","0.051299165934324265","0.051299165934324265","0.051299165934324265","0.8986054062843323","0.8986054062843323","0.8986054062843323"
"42","13070.5","13070","13071","0.05062715336680412","0.05062715336680412","0.05062715336680412","2.2098276615142822","2.2098276615142822","2.2098276615142822"
"43","13374.5","13374","13375","0.05096634849905968","0.05096634849905968","0.05096634849905968","2.460411787033081","2.460411787033081","2.460411787033081"
"44","13678.5","13678","13679","0.05131284147500992","0.05131284147500992","0.05131284147500992","2.5721888542175293","2.5721888542175293","2.5721888542175293"
"45","13982.5","13982","13983","0.050443876534700394","0.050443876534700394","0.050443876534700394","2.4715757369995117","2.4715757369995117","2.4715757369995117"
"46","14286.5","14286","14287","0.05144323408603668","0.05144323408603668","0.05144323408603668","2.490216016769409","2.490216016769409","2.490216016769409"
"47","14590.5","14590","14591","0.04966973885893822","0.04966973885893822","0.04966973885893822","2.4511828422546387","2.4511828422546387","2.4511828422546387"
"48","14894.5","14894","14895","0.04872235283255577","0.04872235283255577","0.04872235283255577","2.5545341968536377","2.5545341968536377","2.5545341968536377"
