"epoch","ConvNext_Tiny_Base - _step","ConvNext_Tiny_Base - _step__MIN","ConvNext_Tiny_Base - _step__MAX","ConvNext_Tiny_Base - train_loss_epoch","ConvNext_Tiny_Base - train_loss_epoch__MIN","ConvNext_Tiny_Base - train_loss_epoch__MAX","ConvNext_Tiny_Base - val_loss_epoch","ConvNext_Tiny_Base - val_loss_epoch__MIN","ConvNext_Tiny_Base - val_loss_epoch__MAX"
"0","302.5","302","303","0.9901199340820312","0.9901199340820312","0.9901199340820312","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"1","606.5","606","607","0.39067789912223816","0.39067789912223816","0.39067789912223816","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"2","910.5","910","911","0.3904089033603668","0.3904089033603668","0.3904089033603668","0.40887850522994995","0.40887850522994995","0.40887850522994995"
"3","1214.5","1214","1215","0.39994657039642334","0.39994657039642334","0.39994657039642334","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"4","1518.5","1518","1519","0.40457314252853394","0.40457314252853394","0.40457314252853394","0.47438669204711914","0.47438669204711914","0.47438669204711914"
"5","1822.5","1822","1823","0.398173063993454","0.398173063993454","0.398173063993454","0.39985397458076477","0.39985397458076477","0.39985397458076477"
"6","2126.5","2126","2127","0.39420756697654724","0.39420756697654724","0.39420756697654724","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"7","2430.5","2430","2431","0.389199823141098","0.389199823141098","0.389199823141098","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"8","2734.5","2734","2735","0.38797158002853394","0.38797158002853394","0.38797158002853394","0.38784316182136536","0.38784316182136536","0.38784316182136536"
"9","3038.5","3038","3039","0.3885825276374817","0.3885825276374817","0.3885825276374817","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"10","3342.5","3342","3343","0.3838547170162201","0.3838547170162201","0.3838547170162201","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"11","3646.5","3646","3647","0.3801891803741455","0.3801891803741455","0.3801891803741455","0.39985397458076477","0.39985397458076477","0.39985397458076477"
"12","3950.5","3950","3951","0.38126420974731445","0.38126420974731445","0.38126420974731445","0.39986127614974976","0.39986127614974976","0.39986127614974976"
"13","4254.5","4254","4255","0.3903696835041046","0.3903696835041046","0.3903696835041046","0.39985397458076477","0.39985397458076477","0.39985397458076477"
"14","4558.5","4558","4559","0.39534732699394226","0.39534732699394226","0.39534732699394226","0.43772634863853455","0.43772634863853455","0.43772634863853455"
"15","4862.5","4862","4863","0.3937434256076813","0.3937434256076813","0.3937434256076813","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"16","5166.5","5166","5167","0.3892563581466675","0.3892563581466675","0.3892563581466675","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"17","5470.5","5470","5471","0.3848704993724823","0.3848704993724823","0.3848704993724823","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"18","5774.5","5774","5775","0.3667799234390259","0.3667799234390259","0.3667799234390259","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"19","6078.5","6078","6079","0.3671528398990631","0.3671528398990631","0.3671528398990631","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"20","6382.5","6382","6383","0.3666869103908539","0.3666869103908539","0.3666869103908539","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"21","6686.5","6686","6687","0.36775922775268555","0.36775922775268555","0.36775922775268555","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"22","6990.5","6990","6991","0.3678695559501648","0.3678695559501648","0.3678695559501648","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"23","7294.5","7294","7295","0.367807537317276","0.367807537317276","0.367807537317276","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"24","7598.5","7598","7599","0.36631396412849426","0.36631396412849426","0.36631396412849426","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"25","7902.5","7902","7903","0.3674245774745941","0.3674245774745941","0.3674245774745941","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"26","8206.5","8206","8207","0.36749204993247986","0.36749204993247986","0.36749204993247986","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"27","8510.5","8510","8511","0.36716562509536743","0.36716562509536743","0.36716562509536743","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"28","8814.5","8814","8815","0.36869746446609497","0.36869746446609497","0.36869746446609497","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"29","9118.5","9118","9119","0.3658124804496765","0.3658124804496765","0.3658124804496765","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"30","9422.5","9422","9423","0.3655863404273987","0.3655863404273987","0.3655863404273987","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"31","9726.5","9726","9727","0.3658826947212219","0.3658826947212219","0.3658826947212219","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"32","10030.5","10030","10031","0.36612066626548767","0.36612066626548767","0.36612066626548767","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"33","10334.5","10334","10335","0.3661297857761383","0.3661297857761383","0.3661297857761383","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"34","10638.5","10638","10639","0.36544501781463623","0.36544501781463623","0.36544501781463623","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"35","10942.5","10942","10943","0.3667835593223572","0.3667835593223572","0.3667835593223572","0.36912238597869873","0.36912238597869873","0.36912238597869873"
"36","11246.5","11246","11247","0.36560821533203125","0.36560821533203125","0.36560821533203125","0.37161216139793396","0.37161216139793396","0.37161216139793396"
