"epoch","ENetB0_Tuned - _step","ENetB0_Tuned - _step__MIN","ENetB0_Tuned - _step__MAX","ENetB0_Tuned - train_loss_epoch","ENetB0_Tuned - train_loss_epoch__MIN","ENetB0_Tuned - train_loss_epoch__MAX","ENetB0_Tuned - val_loss_epoch","ENetB0_Tuned - val_loss_epoch__MIN","ENetB0_Tuned - val_loss_epoch__MAX"
"0","76.5","76","77","6.558581829071045","6.558581829071045","6.558581829071045","0.37602949142456055","0.37602949142456055","0.37602949142456055"
"1","154.5","154","155","0.09865286946296692","0.09865286946296692","0.09865286946296692","0.022619742900133133","0.022619742900133133","0.022619742900133133"
"2","232.5","232","233","0.07678735256195068","0.07678735256195068","0.07678735256195068","0.035309579223394394","0.035309579223394394","0.035309579223394394"
"3","310.5","310","311","0.07535305619239807","0.07535305619239807","0.07535305619239807","0.01799795590341091","0.01799795590341091","0.01799795590341091"
"4","388.5","388","389","0.06560201942920685","0.06560201942920685","0.06560201942920685","0.019969334825873375","0.019969334825873375","0.019969334825873375"
"5","466.5","466","467","0.06971251964569092","0.06971251964569092","0.06971251964569092","0.06424503773450851","0.06424503773450851","0.06424503773450851"
"6","544.5","544","545","0.06374099105596542","0.06374099105596542","0.06374099105596542","0.06377774477005005","0.06377774477005005","0.06377774477005005"
"7","622.5","622","623","0.06185716390609741","0.06185716390609741","0.06185716390609741","0.019794100895524025","0.019794100895524025","0.019794100895524025"
"8","700.5","700","701","0.06284558027982712","0.06284558027982712","0.06284558027982712","0.008542640134692192","0.008542640134692192","0.008542640134692192"
"9","778.5","778","779","0.05847794935107231","0.05847794935107231","0.05847794935107231","0.07660631090402603","0.07660631090402603","0.07660631090402603"
"10","856.5","856","857","0.06015479192137718","0.06015479192137718","0.06015479192137718","0.011996203102171421","0.011996203102171421","0.011996203102171421"
"11","934.5","934","935","0.06726427376270294","0.06726427376270294","0.06726427376270294","0.009805782698094845","0.009805782698094845","0.009805782698094845"
"12","1012.5","1012","1013","0.05854998156428337","0.05854998156428337","0.05854998156428337","0.00782710313796997","0.00782710313796997","0.00782710313796997"
"13","1090.5","1090","1091","0.06285037100315094","0.06285037100315094","0.06285037100315094","2.4417293071746826","2.4417293071746826","2.4417293071746826"
"14","1168.5","1168","1169","0.07016387581825256","0.07016387581825256","0.07016387581825256","0.06157272309064865","0.06157272309064865","0.06157272309064865"
"15","1246.5","1246","1247","0.051293693482875824","0.051293693482875824","0.051293693482875824","0.021327394992113113","0.021327394992113113","0.021327394992113113"
"16","1324.5","1324","1325","0.051156919449567795","0.051156919449567795","0.051156919449567795","0.061185747385025024","0.061185747385025024","0.061185747385025024"
"17","1402.5","1402","1403","0.058380383998155594","0.058380383998155594","0.058380383998155594","0.007819801568984985","0.007819801568984985","0.007819801568984985"
"18","1480.5","1480","1481","0.06228572130203247","0.06228572130203247","0.06228572130203247","0.0255403034389019","0.0255403034389019","0.0255403034389019"
"19","1558.5","1558","1559","0.049017783254384995","0.049017783254384995","0.049017783254384995","0.009031834080815315","0.009031834080815315","0.009031834080815315"
"20","1636.5","1636","1637","0.05442215874791145","0.05442215874791145","0.05442215874791145","0.017501460388302803","0.017501460388302803","0.017501460388302803"
"21","1714.5","1714","1715","0.05202862247824669","0.05202862247824669","0.05202862247824669","0.038894567638635635","0.038894567638635635","0.038894567638635635"
"22","1792.5","1792","1793","0.05541148781776428","0.05541148781776428","0.05541148781776428","0.0076737734489142895","0.0076737734489142895","0.0076737734489142895"
"23","1870.5","1870","1871","0.05084143206477165","0.05084143206477165","0.05084143206477165","0.047123245894908905","0.047123245894908905","0.047123245894908905"
"24","1948.5","1948","1949","0.053120989352464676","0.053120989352464676","0.053120989352464676","0.009769275784492493","0.009769275784492493","0.009769275784492493"
"25","2026.5","2026","2027","0.046915121376514435","0.046915121376514435","0.046915121376514435","0.050708234310150146","0.050708234310150146","0.050708234310150146"
"26","2104.5","2104","2105","0.049206532537937164","0.049206532537937164","0.049206532537937164","0.010141647420823574","0.010141647420823574","0.010141647420823574"
"27","2182.5","2182","2183","0.046638838946819305","0.046638838946819305","0.046638838946819305","0.1724810153245926","0.1724810153245926","0.1724810153245926"
"28","2260.5","2260","2261","0.07255923002958298","0.07255923002958298","0.07255923002958298","0.02125438116490841","0.02125438116490841","0.02125438116490841"
"29","2338.5","2338","2339","0.055391427129507065","0.055391427129507065","0.055391427129507065","0.009250876493752003","0.009250876493752003","0.009250876493752003"
"30","2416.5","2416","2417","0.04230676591396332","0.04230676591396332","0.04230676591396332","0.03346962481737137","0.03346962481737137","0.03346962481737137"
"31","2494.5","2494","2495","0.048550017178058624","0.048550017178058624","0.048550017178058624","0.013310455717146397","0.013310455717146397","0.013310455717146397"
"32","2572.5","2572","2573","0.05122348293662071","0.05122348293662071","0.05122348293662071","0.03909900784492493","0.03909900784492493","0.03909900784492493"
"33","2650.5","2650","2651","0.05742388218641281","0.05742388218641281","0.05742388218641281","0.03479117900133133","0.03479117900133133","0.03479117900133133"
"34","2728.5","2728","2729","0.0501922108232975","0.0501922108232975","0.0501922108232975","0.09878797084093094","0.09878797084093094","0.09878797084093094"
"35","2806.5","2806","2807","0.04399637505412102","0.04399637505412102","0.04399637505412102","0.005052570253610611","0.005052570253610611","0.005052570253610611"
"36","2884.5","2884","2885","0.04448967054486275","0.04448967054486275","0.04448967054486275","0.005994450766593218","0.005994450766593218","0.005994450766593218"
"37","2962.5","2962","2963","0.05096908658742905","0.05096908658742905","0.05096908658742905","0.014434871263802052","0.014434871263802052","0.014434871263802052"
"38","3040.5","3040","3041","0.05308542773127556","0.05308542773127556","0.05308542773127556","0.02281688153743744","0.02281688153743744","0.02281688153743744"
"39","3118.5","3118","3119","0.04415959119796753","0.04415959119796753","0.04415959119796753","0.012755549512803555","0.012755549512803555","0.012755549512803555"
"40","3196.5","3196","3197","0.05682846158742905","0.05682846158742905","0.05682846158742905","0.04166179895401001","0.04166179895401001","0.04166179895401001"
"41","3274.5","3274","3275","0.04745309427380562","0.04745309427380562","0.04745309427380562","0.026168223470449448","0.026168223470449448","0.026168223470449448"
"42","3352.5","3352","3353","0.0465959832072258","0.0465959832072258","0.0465959832072258","0.05991530418395996","0.05991530418395996","0.05991530418395996"
"43","3430.5","3430","3431","0.039456408470869064","0.039456408470869064","0.039456408470869064","0.005702394992113113","0.005702394992113113","0.005702394992113113"
"44","3508.5","3508","3509","0.048462484031915665","0.048462484031915665","0.048462484031915665","0.02500000037252903","0.02500000037252903","0.02500000037252903"
"45","3586.5","3586","3587","0.0643172636628151","0.0643172636628151","0.0643172636628151","0.006235397420823574","0.006235397420823574","0.006235397420823574"
"46","3664.5","3664","3665","0.04809137061238289","0.04809137061238289","0.04809137061238289","0.09957651793956757","0.09957651793956757","0.09957651793956757"
"47","3742.5","3742","3743","0.052448973059654236","0.052448973059654236","0.052448973059654236","0.10900992900133133","0.10900992900133133","0.10900992900133133"
"48","3820.5","3820","3821","0.04804304614663124","0.04804304614663124","0.04804304614663124","0.02908148430287838","0.02908148430287838","0.02908148430287838"
"49","3898.5","3898","3899","0.07464548200368881","0.07464548200368881","0.07464548200368881","0.06347838789224625","0.06347838789224625","0.06347838789224625"
"50","3976.5","3976","3977","0.05099552869796753","0.05099552869796753","0.05099552869796753","0.00507447449490428","0.00507447449490428","0.00507447449490428"
"51","4054.5","4054","4055","0.038720566779375076","0.038720566779375076","0.038720566779375076","0.05843311920762062","0.05843311920762062","0.05843311920762062"
"52","4132.5","4132","4133","0.03486993908882141","0.03486993908882141","0.03486993908882141","0.017391938716173172","0.017391938716173172","0.017391938716173172"
"53","4210.5","4210","4211","0.037482310086488724","0.037482310086488724","0.037482310086488724","0.004198306240141392","0.004198306240141392","0.004198306240141392"
"54","4288.5","4288","4289","0.0320560522377491","0.0320560522377491","0.0320560522377491","0.004191004671156406","0.004191004671156406","0.004191004671156406"
"55","4366.5","4366","4367","0.037868011742830276","0.037868011742830276","0.037868011742830276","0.004249415826052427","0.004249415826052427","0.004249415826052427"
"56","4444.5","4444","4445","0.03349490836262703","0.03349490836262703","0.03349490836262703","0.0041325935162603855","0.0041325935162603855","0.0041325935162603855"
"57","4522.5","4522","4523","0.03605804219841957","0.03605804219841957","0.03605804219841957","0.004592581652104855","0.004592581652104855","0.004592581652104855"
"58","4600.5","4600","4601","0.03592674061655998","0.03592674061655998","0.03592674061655998","0.004088785033673048","0.004088785033673048","0.004088785033673048"
"59","4678.5","4678","4679","0.033752042800188065","0.033752042800188065","0.033752042800188065","0.012865070253610611","0.012865070253610611","0.012865070253610611"
