"epoch","ResNet18_Tuned - _step","ResNet18_Tuned - _step__MIN","ResNet18_Tuned - _step__MAX","ResNet18_Tuned - train_loss_epoch","ResNet18_Tuned - train_loss_epoch__MIN","ResNet18_Tuned - train_loss_epoch__MAX","ResNet18_Tuned - val_loss_epoch","ResNet18_Tuned - val_loss_epoch__MIN","ResNet18_Tuned - val_loss_epoch__MAX"
"0","151.5","151","152","3.3087210655212402","3.3087210655212402","3.3087210655212402","0.03874853998422623","0.03874853998422623","0.03874853998422623"
"1","304.5","304","305","0.03263961896300316","0.03263961896300316","0.03263961896300316","0.009126752614974976","0.009126752614974976","0.009126752614974976"
"2","457.5","457","458","0.026393629610538483","0.026393629610538483","0.026393629610538483","0.00858644861727953","0.00858644861727953","0.00858644861727953"
"3","610.5","610","611","0.027848899364471436","0.027848899364471436","0.027848899364471436","0.011076226830482483","0.011076226830482483","0.011076226830482483"
"4","763.5","763","764","0.029969800263643265","0.029969800263643265","0.029969800263643265","0.008922313340008259","0.008922313340008259","0.008922313340008259"
"5","916.5","916","917","0.03154907748103142","0.03154907748103142","0.03154907748103142","0.012215245515108109","0.012215245515108109","0.012215245515108109"
"6","1069.5","1069","1070","0.019622432067990303","0.019622432067990303","0.019622432067990303","0.016209112480282784","0.016209112480282784","0.016209112480282784"
"7","1222.5","1222","1223","0.026265975087881088","0.026265975087881088","0.026265975087881088","0.051715828478336334","0.051715828478336334","0.051715828478336334"
"8","1375.5","1375","1376","0.028947647660970688","0.028947647660970688","0.028947647660970688","0.017837325111031532","0.017837325111031532","0.017837325111031532"
"9","1528.5","1528","1529","0.022639654576778412","0.022639654576778412","0.022639654576778412","0.046626754105091095","0.046626754105091095","0.046626754105091095"
"10","1681.5","1681","1682","0.01669183373451233","0.01669183373451233","0.01669183373451233","0.013602511957287788","0.013602511957287788","0.013602511957287788"
"11","1834.5","1834","1835","0.015635941177606583","0.015635941177606583","0.015635941177606583","0.013573305681347847","0.013573305681347847","0.013573305681347847"
"12","1987.5","1987","1988","0.01621130295097828","0.01621130295097828","0.01621130295097828","0.010455607436597347","0.010455607436597347","0.010455607436597347"
"13","2140.5","2140","2141","0.013003508560359478","0.013003508560359478","0.013003508560359478","0.010265771299600601","0.010265771299600601","0.010265771299600601"
"14","2293.5","2293","2294","0.00914284959435463","0.00914284959435463","0.00914284959435463","0.006191588938236237","0.006191588938236237","0.006191588938236237"
"15","2446.5","2446","2447","0.008667790330946445","0.008667790330946445","0.008667790330946445","0.005089077167212963","0.005089077167212963","0.005089077167212963"
"16","2599.5","2599","2600","0.00938721839338541","0.00938721839338541","0.00938721839338541","0.005067172925919294","0.005067172925919294","0.005067172925919294"
"17","2752.5","2752","2753","0.008242880925536156","0.008242880925536156","0.008242880925536156","0.005563668441027403","0.005563668441027403","0.005563668441027403"
"18","2905.5","2905","2906","0.007901858538389206","0.007901858538389206","0.007901858538389206","0.005359229166060686","0.005359229166060686","0.005359229166060686"
"19","3058.5","3058","3059","0.008046838454902172","0.008046838454902172","0.008046838454902172","0.00668078288435936","0.00668078288435936","0.00668078288435936"
"20","3211.5","3211","3212","0.00858481414616108","0.00858481414616108","0.00858481414616108","0.005848423112183809","0.005848423112183809","0.005848423112183809"
"21","3364.5","3364","3365","0.008263852447271347","0.008263852447271347","0.008263852447271347","0.005001460202038288","0.005001460202038288","0.005001460202038288"
"22","3517.5","3517","3518","0.00861581601202488","0.00861581601202488","0.00861581601202488","0.0045852805487811565","0.0045852805487811565","0.0045852805487811565"
"23","3670.5","3670","3671","0.007681197486817837","0.007681197486817837","0.007681197486817837","0.007995035499334335","0.007995035499334335","0.007995035499334335"
"24","3823.5","3823","3824","0.008164463564753532","0.008164463564753532","0.008164463564753532","0.004694801289588213","0.004694801289588213","0.004694801289588213"
"25","3976.5","3976","3977","0.00835503451526165","0.00835503451526165","0.00835503451526165","0.007111565209925175","0.007111565209925175","0.007111565209925175"
"26","4129.5","4129","4130","0.00738759059458971","0.00738759059458971","0.00738759059458971","0.01138288527727127","0.01138288527727127","0.01138288527727127"
"27","4282.5","4282","4283","0.007724053226411343","0.007724053226411343","0.007724053226411343","0.00797313079237938","0.00797313079237938","0.00797313079237938"
"28","4435.5","4435","4436","0.007734994869679213","0.007734994869679213","0.007734994869679213","0.020108060911297798","0.020108060911297798","0.020108060911297798"
"29","4588.5","4588","4589","0.007393973413854837","0.007393973413854837","0.007393973413854837","0.00489924056455493","0.00489924056455493","0.00489924056455493"
"30","4741.5","4741","4742","0.007279083598405123","0.007279083598405123","0.007279083598405123","0.006965537555515766","0.006965537555515766","0.006965537555515766"
"31","4894.5","4894","4895","0.007025596685707569","0.007025596685707569","0.007025596685707569","0.007323306053876877","0.007323306053876877","0.007323306053876877"
"32","5047.5","5047","5048","0.0076994337141513824","0.0076994337141513824","0.0076994337141513824","0.010134345851838589","0.010134345851838589","0.010134345851838589"
"33","5200.5","5200","5201","0.007568131200969219","0.007568131200969219","0.007568131200969219","0.00703855138272047","0.00703855138272047","0.00703855138272047"
"34","5353.5","5353","5354","0.006483062170445919","0.006483062170445919","0.006483062170445919","0.0041325935162603855","0.0041325935162603855","0.0041325935162603855"
"35","5506.5","5506","5507","0.005663332995027304","0.005663332995027304","0.005663332995027304","0.004154497757554054","0.004154497757554054","0.004154497757554054"
"36","5659.5","5659","5660","0.005749044474214315","0.005749044474214315","0.005749044474214315","0.0037967290263623","0.0037967290263623","0.0037967290263623"
"37","5812.5","5812","5813","0.0057463087141513824","0.0057463087141513824","0.0057463087141513824","0.0041325935162603855","0.0041325935162603855","0.0041325935162603855"
"38","5965.5","5965","5966","0.005673362873494625","0.005673362873494625","0.005673362873494625","0.003993866965174675","0.003993866965174675","0.003993866965174675"
"39","6118.5","6118","6119","0.005636889953166246","0.005636889953166246","0.005636889953166246","0.003855140181258321","0.003855140181258321","0.003855140181258321"
"40","6271.5","6271","6272","0.005260307341814041","0.005260307341814041","0.005260307341814041","0.0038989486638456583","0.0038989486638456583","0.0038989486638456583"
"41","6424.5","6424","6425","0.005591298919171095","0.005591298919171095","0.005591298919171095","0.004147196188569069","0.004147196188569069","0.004147196188569069"
"42","6577.5","6577","6578","0.00550102861598134","0.00550102861598134","0.00550102861598134","0.0038186332676559687","0.0038186332676559687","0.0038186332676559687"
"43","6730.5","6730","6731","0.005390698090195656","0.005390698090195656","0.005390698090195656","0.0037018107250332832","0.0037018107250332832","0.0037018107250332832"
"44","6883.5","6883","6884","0.0056305075995624065","0.0056305075995624065","0.0056305075995624065","0.003723714966326952","0.003723714966326952","0.003723714966326952"
"45","7036.5","7036","7037","0.0054563493467867374","0.0054563493467867374","0.0054563493467867374","0.004030373878777027","0.004030373878777027","0.004030373878777027"
"46","7189.5","7189","7190","0.0052238344214856625","0.0052238344214856625","0.0052238344214856625","0.0037675234489142895","0.0037675234489142895","0.0037675234489142895"
"47","7342.5","7342","7343","0.00577275175601244","0.00577275175601244","0.00577275175601244","0.004198306240141392","0.004198306240141392","0.004198306240141392"
"48","7495.5","7495","7496","0.004985848441720009","0.004985848441720009","0.004985848441720009","0.0042859227396547794","0.0042859227396547794","0.0042859227396547794"
"49","7648.5","7648","7649","0.005097090732306242","0.005097090732306242","0.005097090732306242","0.0035849884152412415","0.0035849884152412415","0.0035849884152412415"
"50","7801.5","7801","7802","0.005273984745144844","0.005273984745144844","0.005273984745144844","0.003154205624014139","0.003154205624014139","0.003154205624014139"
"51","7954.5","7954","7955","0.005180978681892157","0.005180978681892157","0.005180978681892157","0.004059579223394394","0.004059579223394394","0.004059579223394394"
"52","8107.5","8107","8108","0.005193744320422411","0.005193744320422411","0.005193744320422411","0.0055563668720424175","0.0055563668720424175","0.0055563668720424175"
"53","8260.5","8260","8261","0.005293132737278938","0.005293132737278938","0.005293132737278938","0.0034535632003098726","0.0034535632003098726","0.0034535632003098726"
"54","8413.5","8413","8414","0.005002261139452457","0.005002261139452457","0.005002261139452457","0.003979263827204704","0.003979263827204704","0.003979263827204704"
"55","8566.5","8566","8567","0.005122622009366751","0.005122622009366751","0.005122622009366751","0.004424649756401777","0.004424649756401777","0.004424649756401777"
"56","8719.5","8719","8720","0.005008643958717585","0.005008643958717585","0.005008643958717585","0.003417056053876877","0.003417056053876877","0.003417056053876877"
"57","8872.5","8872","8873","0.005072471685707569","0.005072471685707569","0.005072471685707569","0.004059579223394394","0.004059579223394394","0.004059579223394394"
"58","9025.5","9025","9026","0.005126269068568945","0.005126269068568945","0.005126269068568945","0.003088492900133133","0.003088492900133133","0.003088492900133133"
"59","9178.5","9178","9179","0.004892842378467321","0.004892842378467321","0.004892842378467321","0.0037967290263623","0.0037967290263623","0.0037967290263623"
"60","9331.5","9331","9332","0.0050542354583740234","0.0050542354583740234","0.0050542354583740234","0.0031834112014621496","0.0031834112014621496","0.0031834112014621496"
"61","9484.5","9484","9485","0.005098914727568626","0.005098914727568626","0.005098914727568626","0.003468165872618556","0.003468165872618556","0.003468165872618556"
"62","9637.5","9637","9638","0.005156359635293484","0.005156359635293484","0.005156359635293484","0.003855140181258321","0.003855140181258321","0.003855140181258321"
"63","9790.5","9790","9791","0.005018674302846193","0.005018674302846193","0.005018674302846193","0.003431658959016204","0.003431658959016204","0.003431658959016204"
"64","9943.5","9943","9944","0.005056970752775669","0.005056970752775669","0.005056970752775669","0.003417056053876877","0.003417056053876877","0.003417056053876877"
"65","10096.5","10096","10097","0.0049466402269899845","0.0049466402269899845","0.0049466402269899845","0.0035849884152412415","0.0035849884152412415","0.0035849884152412415"
"66","10249.5","10249","10250","0.004638443700969219","0.004638443700969219","0.004638443700969219","0.0032564252614974976","0.0032564252614974976","0.0032564252614974976"
"67","10402.5","10402","10403","0.004730537999421358","0.004730537999421358","0.004730537999421358","0.0033075350802391768","0.0033075350802391768","0.0033075350802391768"
"68","10555.5","10555","10556","0.005033263470977545","0.005033263470977545","0.005033263470977545","0.004672897048294544","0.004672897048294544","0.004672897048294544"
"69","10708.5","10708","10709","0.004771570209413767","0.004771570209413767","0.004771570209413767","0.0033075350802391768","0.0033075350802391768","0.0033075350802391768"
"70","10861.5","10861","10862","0.004414135590195656","0.004414135590195656","0.004414135590195656","0.00332213775254786","0.00332213775254786","0.00332213775254786"
"71","11014.5","11014","11015","0.004420518409460783","0.004420518409460783","0.004420518409460783","0.00310309580527246","0.00310309580527246","0.00310309580527246"
