"epoch","ConvNext_Tiny_Tuned - _step","ConvNext_Tiny_Tuned - _step__MIN","ConvNext_Tiny_Tuned - _step__MAX","ConvNext_Tiny_Tuned - train_loss_epoch","ConvNext_Tiny_Tuned - train_loss_epoch__MIN","ConvNext_Tiny_Tuned - train_loss_epoch__MAX","ConvNext_Tiny_Tuned - val_loss_epoch","ConvNext_Tiny_Tuned - val_loss_epoch__MIN","ConvNext_Tiny_Tuned - val_loss_epoch__MAX"
"43","6730.5","6730","6731","0.3674774467945099","0.3674774467945099","0.3674774467945099","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"44","6883.5","6883","6884","0.36715924739837646","0.36715924739837646","0.36715924739837646","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"45","7036.5","7036","7037","0.36786043643951416","0.36786043643951416","0.36786043643951416","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"46","7189.5","7189","7190","0.36873942613601685","0.36873942613601685","0.36873942613601685","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"47","7342.5","7342","7343","0.36841845512390137","0.36841845512390137","0.36841845512390137","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"48","7495.5","7495","7496","0.36681729555130005","0.36681729555130005","0.36681729555130005","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"49","7648.5","7648","7649","0.3684594929218292","0.3684594929218292","0.3684594929218292","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"50","7801.5","7801","7802","0.3674783706665039","0.3674783706665039","0.3674783706665039","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"51","7954.5","7954","7955","0.36782214045524597","0.36782214045524597","0.36782214045524597","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"52","8107.5","8107","8108","0.37018465995788574","0.37018465995788574","0.37018465995788574","0.39985397458076477","0.39985397458076477","0.39985397458076477"
"53","8260.5","8260","8261","0.3727569282054901","0.3727569282054901","0.3727569282054901","0.38182681798934937","0.38182681798934937","0.38182681798934937"
"54","8413.5","8413","8414","0.36670422554016113","0.36670422554016113","0.36670422554016113","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"55","8566.5","8566","8567","0.3663395047187805","0.3663395047187805","0.3663395047187805","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"56","8719.5","8719","8720","0.36606869101524353","0.36606869101524353","0.36606869101524353","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"57","8872.5","8872","8873","0.36536750197410583","0.36536750197410583","0.36536750197410583","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"58","9025.5","9025","9026","0.36614710092544556","0.36614710092544556","0.36614710092544556","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"59","9178.5","9178","9179","0.36654648184776306","0.36654648184776306","0.36654648184776306","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"60","9331.5","9331","9332","0.36546140909194946","0.36546140909194946","0.36546140909194946","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"61","9484.5","9484","9485","0.3665838837623596","0.3665838837623596","0.3665838837623596","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"62","9637.5","9637","9638","0.3663240075111389","0.3663240075111389","0.3663240075111389","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"63","9790.5","9790","9791","0.3657851219177246","0.3657851219177246","0.3657851219177246","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"64","9943.5","9943","9944","0.36578693985939026","0.36578693985939026","0.36578693985939026","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"65","10096.5","10096","10097","0.3662720322608948","0.3662720322608948","0.3662720322608948","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"66","10249.5","10249","10250","0.3658279776573181","0.3658279776573181","0.3658279776573181","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"67","10402.5","10402","10403","0.3670799136161804","0.3670799136161804","0.3670799136161804","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"68","10555.5","10555","10556","0.3663659393787384","0.3663659393787384","0.3663659393787384","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"69","10708.5","10708","10709","0.36607325077056885","0.36607325077056885","0.36607325077056885","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"70","10861.5","10861","10862","0.36527904868125916","0.36527904868125916","0.36527904868125916","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"71","11014.5","11014","11015","0.3657139837741852","0.3657139837741852","0.3657139837741852","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"72","11167.5","11167","11168","0.3665236830711365","0.3665236830711365","0.3665236830711365","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"73","11320.5","11320","11321","0.36584073305130005","0.36584073305130005","0.36584073305130005","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"74","11473.5","11473","11474","0.3652042746543884","0.3652042746543884","0.3652042746543884","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"75","11626.5","11626","11627","0.3656182587146759","0.3656182587146759","0.3656182587146759","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"76","11779.5","11779","11780","0.36654192209243774","0.36654192209243774","0.36654192209243774","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"77","11932.5","11932","11933","0.3665100038051605","0.3665100038051605","0.3665100038051605","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"78","12085.5","12085","12086","0.3667771816253662","0.3667771816253662","0.3667771816253662","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"79","12238.5","12238","12239","0.36744099855422974","0.36744099855422974","0.36744099855422974","0.36920997500419617","0.36920997500419617","0.36920997500419617"
"80","12391.5","12391","12392","0.366396963596344","0.366396963596344","0.366396963596344","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"81","12544.5","12544","12545","0.3660641312599182","0.3660641312599182","0.3660641312599182","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"82","12697.5","12697","12698","0.3653355836868286","0.3653355836868286","0.3653355836868286","0.37161216139793396","0.37161216139793396","0.37161216139793396"
"83","12850.5","12850","12851","0.36532101035118103","0.36532101035118103","0.36532101035118103","0.37161216139793396","0.37161216139793396","0.37161216139793396"
