"epoch","MLP_o1_Tuned - _step","MLP_o1_Tuned - _step__MIN","MLP_o1_Tuned - _step__MAX","MLP_o1_Tuned - train_loss_epoch","MLP_o1_Tuned - train_loss_epoch__MIN","MLP_o1_Tuned - train_loss_epoch__MAX","MLP_o1_Tuned - val_loss_epoch","MLP_o1_Tuned - val_loss_epoch__MIN","MLP_o1_Tuned - val_loss_epoch__MAX"
"0","151.5","151","152","15.198692321777344","15.198692321777344","15.198692321777344","3.0969278812408447","3.0969278812408447","3.0969278812408447"
"1","304.5","304","305","1.2969954013824463","1.2969954013824463","1.2969954013824463","0.46537676453590393","0.46537676453590393","0.46537676453590393"
"2","457.5","457","458","0.26693347096443176","0.26693347096443176","0.26693347096443176","0.1577467918395996","0.1577467918395996","0.1577467918395996"
"3","610.5","610","611","0.10907410085201263","0.10907410085201263","0.10907410085201263","0.07830023020505905","0.07830023020505905","0.07830023020505905"
"4","763.5","763","764","0.06146872788667679","0.06146872788667679","0.06146872788667679","0.05314690247178078","0.05314690247178078","0.05314690247178078"
"5","916.5","916","917","0.04141409322619438","0.04141409322619438","0.04141409322619438","0.03414865583181381","0.03414865583181381","0.03414865583181381"
"6","1069.5","1069","1070","0.028145242482423782","0.028145242482423782","0.028145242482423782","0.025343166664242744","0.025343166664242744","0.025343166664242744"
"7","1222.5","1222","1223","0.020681969821453094","0.020681969821453094","0.020681969821453094","0.018713492900133133","0.018713492900133133","0.018713492900133133"
"8","1375.5","1375","1376","0.016227714717388153","0.016227714717388153","0.016227714717388153","0.015084696002304554","0.015084696002304554","0.015084696002304554"
"9","1528.5","1528","1529","0.013122957199811935","0.013122957199811935","0.013122957199811935","0.012448890134692192","0.012448890134692192","0.012448890134692192"
"10","1681.5","1681","1682","0.01140234712511301","0.01140234712511301","0.01140234712511301","0.010886389762163162","0.010886389762163162","0.010886389762163162"
"11","1834.5","1834","1835","0.009886897169053555","0.009886897169053555","0.009886897169053555","0.010200058110058308","0.010200058110058308","0.010200058110058308"
"12","1987.5","1987","1988","0.008867478929460049","0.008867478929460049","0.008867478929460049","0.009243574924767017","0.009243574924767017","0.009243574924767017"
"13","2140.5","2140","2141","0.008024043403565884","0.008024043403565884","0.008024043403565884","0.008433119393885136","0.008433119393885136","0.008433119393885136"
"14","2293.5","2293","2294","0.007487890776246786","0.007487890776246786","0.007487890776246786","0.007637266535311937","0.007637266535311937","0.007637266535311937"
"15","2446.5","2446","2447","0.006808582693338394","0.006808582693338394","0.006808582693338394","0.008382009342312813","0.008382009342312813","0.008382009342312813"
"16","2599.5","2599","2600","0.006338082253932953","0.006338082253932953","0.006338082253932953","0.0062573011964559555","0.0062573011964559555","0.0062573011964559555"
"17","2752.5","2752","2753","0.005870317108929157","0.005870317108929157","0.005870317108929157","0.005841121543198824","0.005841121543198824","0.005841121543198824"
"18","2905.5","2905","2906","0.005351489409804344","0.005351489409804344","0.005351489409804344","0.005271612200886011","0.005271612200886011","0.005271612200886011"
"19","3058.5","3058","3059","0.005011379718780518","0.005011379718780518","0.005011379718780518","0.005176694132387638","0.005176694132387638","0.005176694132387638"
"20","3211.5","3211","3212","0.004689505789428949","0.004689505789428949","0.004689505789428949","0.006578563246876001","0.006578563246876001","0.006578563246876001"
"21","3364.5","3364","3365","0.004388604313135147","0.004388604313135147","0.004388604313135147","0.004870035219937563","0.004870035219937563","0.004870035219937563"
"22","3517.5","3517","3518","0.004230859223753214","0.004230859223753214","0.004230859223753214","0.004293224308639765","0.004293224308639765","0.004293224308639765"
"23","3670.5","3670","3671","0.0038716006092727184","0.0038716006092727184","0.0038716006092727184","0.0042275115847587585","0.0042275115847587585","0.0042275115847587585"
"24","3823.5","3823","3824","0.003640909446403384","0.003640909446403384","0.003640909446403384","0.003928154241293669","0.003928154241293669","0.003928154241293669"
"25","3976.5","3976","3977","0.003818714991211891","0.003818714991211891","0.003818714991211891","0.003665303811430931","0.003665303811430931","0.003665303811430931"
"26","4129.5","4129","4130","0.003280739299952984","0.003280739299952984","0.003280739299952984","0.003504672786220908","0.003504672786220908","0.003504672786220908"
"27","4282.5","4282","4283","0.00337465712800622","0.00337465712800622","0.00337465712800622","0.0030081775039434433","0.0030081775039434433","0.0030081775039434433"
"28","4435.5","4435","4436","0.0033682743087410927","0.0033682743087410927","0.0033682743087410927","0.003942756913602352","0.003942756913602352","0.003942756913602352"
"29","4588.5","4588","4589","0.003297152230516076","0.003297152230516076","0.003297152230516076","0.0028256424702703953","0.0028256424702703953","0.0028256424702703953"
"30","4741.5","4741","4742","0.002968895947560668","0.002968895947560668","0.002968895947560668","0.004388142377138138","0.004388142377138138","0.004388142377138138"
"31","4894.5","4894","4895","0.002953395014628768","0.002953395014628768","0.002953395014628768","0.0025992989540100098","0.0025992989540100098","0.0025992989540100098"
"32","5047.5","5047","5048","0.003310829633846879","0.003310829633846879","0.003310829633846879","0.004023072309792042","0.004023072309792042","0.004023072309792042"
"33","5200.5","5200","5201","0.002802944043651223","0.002802944043651223","0.002802944043651223","0.0026431074365973473","0.0026431074365973473","0.0026431074365973473"
"34","5353.5","5353","5354","0.002732733730226755","0.002732733730226755","0.002732733730226755","0.003030081745237112","0.003030081745237112","0.003030081745237112"
"35","5506.5","5506","5507","0.0027765012346208096","0.0027765012346208096","0.0027765012346208096","0.0030373830813914537","0.0030373830813914537","0.0030373830813914537"
"36","5659.5","5659","5660","0.0027956494595855474","0.0027956494595855474","0.0027956494595855474","0.0028548480477184057","0.0028548480477184057","0.0028548480477184057"
