"epoch","MLP_dend_Tuned - _step","MLP_dend_Tuned - _step__MIN","MLP_dend_Tuned - _step__MAX","MLP_dend_Tuned - train_loss_epoch","MLP_dend_Tuned - train_loss_epoch__MIN","MLP_dend_Tuned - train_loss_epoch__MAX","MLP_dend_Tuned - val_loss_epoch","MLP_dend_Tuned - val_loss_epoch__MIN","MLP_dend_Tuned - val_loss_epoch__MAX"
"0","151.5","151","152","23.87626838684082","23.87626838684082","23.87626838684082","5.921528339385986","5.921528339385986","5.921528339385986"
"1","304.5","304","305","4.028448104858398","4.028448104858398","4.028448104858398","2.0031158924102783","2.0031158924102783","2.0031158924102783"
"2","457.5","457","458","1.306241750717163","1.306241750717163","1.306241750717163","0.8884309530258179","0.8884309530258179","0.8884309530258179"
"3","610.5","610","611","0.5695695877075195","0.5695695877075195","0.5695695877075195","0.4181658923625946","0.4181658923625946","0.4181658923625946"
"4","763.5","763","764","0.2666526138782501","0.2666526138782501","0.2666526138782501","0.20075204968452454","0.20075204968452454","0.20075204968452454"
"5","916.5","916","917","0.14062225818634033","0.14062225818634033","0.14062225818634033","0.11084257811307907","0.11084257811307907","0.11084257811307907"
"6","1069.5","1069","1070","0.08076928555965424","0.08076928555965424","0.08076928555965424","0.06613609939813614","0.06613609939813614","0.06613609939813614"
"7","1222.5","1222","1223","0.05048217251896858","0.05048217251896858","0.05048217251896858","0.04067610949277878","0.04067610949277878","0.04067610949277878"
"8","1375.5","1375","1376","0.03420977666974068","0.03420977666974068","0.03420977666974068","0.028913551941514015","0.028913551941514015","0.028913551941514015"
"9","1528.5","1528","1529","0.0253286212682724","0.0253286212682724","0.0253286212682724","0.021049940958619118","0.021049940958619118","0.021049940958619118"
"10","1681.5","1681","1682","0.019338855519890785","0.019338855519890785","0.019338855519890785","0.016282126307487488","0.016282126307487488","0.016282126307487488"
"11","1834.5","1834","1835","0.015340510755777359","0.015340510755777359","0.015340510755777359","0.012813960202038288","0.012813960202038288","0.012813960202038288"
"12","1987.5","1987","1988","0.012594100087881088","0.012594100087881088","0.012594100087881088","0.010054030455648899","0.010054030455648899","0.010054030455648899"
"13","2140.5","2140","2141","0.010453139431774616","0.010453139431774616","0.010453139431774616","0.00911945104598999","0.00911945104598999","0.00911945104598999"
"14","2293.5","2293","2294","0.008881156332790852","0.008881156332790852","0.008881156332790852","0.007629964966326952","0.007629964966326952","0.007629964966326952"
"15","2446.5","2446","2447","0.007680285722017288","0.007680285722017288","0.007680285722017288","0.006804906763136387","0.006804906763136387","0.006804906763136387"
"16","2599.5","2599","2600","0.006773933302611113","0.006773933302611113","0.006773933302611113","0.0056439838372170925","0.0056439838372170925","0.0056439838372170925"
"17","2752.5","2752","2753","0.005716218613088131","0.005716218613088131","0.005716218613088131","0.005607476457953453","0.005607476457953453","0.005607476457953453"
"18","2905.5","2905","2906","0.005201038904488087","0.005201038904488087","0.005201038904488087","0.004526868928223848","0.004526868928223848","0.004526868928223848"
"19","3058.5","3058","3059","0.004602883011102676","0.004602883011102676","0.004602883011102676","0.004001168068498373","0.004001168068498373","0.004001168068498373"
"20","3211.5","3211","3212","0.004194386303424835","0.004194386303424835","0.004194386303424835","0.0038405372761189938","0.0038405372761189938","0.0038405372761189938"
"21","3364.5","3364","3365","0.0037649173755198717","0.0037649173755198717","0.0037649173755198717","0.003709112061187625","0.003709112061187625","0.003709112061187625"
"22","3517.5","3517","3518","0.0034248074516654015","0.0034248074516654015","0.0034248074516654015","0.0034973714500665665","0.0034973714500665665","0.0034973714500665665"
"23","3670.5","3670","3671","0.003247913671657443","0.003247913671657443","0.003247913671657443","0.0033732475712895393","0.0033732475712895393","0.0033732475712895393"
"24","3823.5","3823","3824","0.0029971625190228224","0.0029971625190228224","0.0029971625190228224","0.002716121496632695","0.002716121496632695","0.002716121496632695"
"25","3976.5","3976","3977","0.0028038558084517717","0.0028038558084517717","0.0028038558084517717","0.0026869159191846848","0.0026869159191846848","0.0026869159191846848"
"26","4129.5","4129","4130","0.002652493305504322","0.002652493305504322","0.002652493305504322","0.002606600522994995","0.002606600522994995","0.002606600522994995"
"27","4282.5","4282","4283","0.002746411133557558","0.002746411133557558","0.002746411133557558","0.002358352765440941","0.002358352765440941","0.002358352765440941"
"28","4435.5","4435","4436","0.002452804008498788","0.002452804008498788","0.002452804008498788","0.003395151812583208","0.003395151812583208","0.003395151812583208"
"29","4588.5","4588","4589","0.0024482449516654015","0.0024482449516654015","0.0024482449516654015","0.002606600522994995","0.002606600522994995","0.002606600522994995"
"30","4741.5","4741","4742","0.0023579744156450033","0.0023579744156450033","0.0023579744156450033","0.0024751753080636263","0.0024751753080636263","0.0024751753080636263"
"31","4894.5","4894","4895","0.0021674034651368856","0.0021674034651368856","0.0021674034651368856","0.0026942172553390265","0.0026942172553390265","0.0026942172553390265"
"32","5047.5","5047","5048","0.002168315229937434","0.002168315229937434","0.002168315229937434","0.0022488317918032408","0.0022488317918032408","0.0022488317918032408"
"33","5200.5","5200","5201","0.0024363913107663393","0.0024363913107663393","0.0024363913107663393","0.0021320092491805553","0.0021320092491805553","0.0021320092491805553"
"34","5353.5","5353","5354","0.0023132951464504004","0.0023132951464504004","0.0023132951464504004","0.0017377336043864489","0.0017377336043864489","0.0017377336043864489"
"35","5506.5","5506","5507","0.0024564513005316257","0.0024564513005316257","0.0024564513005316257","0.002372955670580268","0.002372955670580268","0.002372955670580268"
"36","5659.5","5659","5660","0.002002363558858633","0.002002363558858633","0.002002363558858633","0.0016209111781790853","0.0016209111781790853","0.0016209111781790853"
"37","5812.5","5812","5813","0.002007834380492568","0.002007834380492568","0.002007834380492568","0.002168516395613551","0.002168516395613551","0.002168516395613551"
"38","5965.5","5965","5966","0.0018774436321109533","0.0018774436321109533","0.0018774436321109533","0.0017377336043864489","0.0017377336043864489","0.0017377336043864489"
"39","6118.5","6118","6119","0.002017864491790533","0.002017864491790533","0.002017864491790533","0.001825350453145802","0.001825350453145802","0.001825350453145802"
"40","6271.5","6271","6272","0.0023315316066145897","0.0023315316066145897","0.0023315316066145897","0.00251898355782032","0.00251898355782032","0.00251898355782032"
"41","6424.5","6424","6425","0.00222667190246284","0.00222667190246284","0.00222667190246284","0.0017596378456801176","0.0017596378456801176","0.0017596378456801176"
"42","6577.5","6577","6578","0.002273174934089184","0.002273174934089184","0.002273174934089184","0.0017815420869737864","0.0017815420869737864","0.0017815420869737864"
"43","6730.5","6730","6731","0.0021336660720407963","0.0021336660720407963","0.0021336660720407963","0.002117406576871872","0.002117406576871872","0.002117406576871872"
"44","6883.5","6883","6884","0.002359798178076744","0.002359798178076744","0.002359798178076744","0.00160630838945508","0.00160630838945508","0.00160630838945508"
"45","7036.5","7036","7037","0.0020552491769194603","0.0020552491769194603","0.0020552491769194603","0.0013434579595923424","0.0013434579595923424","0.0013434579595923424"
"46","7189.5","7189","7190","0.0019421831239014864","0.0019421831239014864","0.0019421831239014864","0.0014018691144883633","0.0014018691144883633","0.0014018691144883633"
"47","7342.5","7342","7343","0.0018564717611297965","0.0018564717611297965","0.0018564717611297965","0.001985981361940503","0.001985981361940503","0.001985981361940503"
"48","7495.5","7495","7496","0.0023114713840186596","0.0023114713840186596","0.0023114713840186596","0.0016501168720424175","0.0016501168720424175","0.0016501168720424175"
"49","7648.5","7648","7649","0.0024737759958952665","0.0024737759958952665","0.0024737759958952665","0.0019421728793531656","0.0019421728793531656","0.0019421728793531656"
"50","7801.5","7801","7802","0.0016303396550938487","0.0016303396550938487","0.0016303396550938487","0.0017377336043864489","0.0017377336043864489","0.0017377336043864489"
"51","7954.5","7954","7955","0.0019576840568333864","0.0019576840568333864","0.0019576840568333864","0.001642815419472754","0.001642815419472754","0.001642815419472754"
"52","8107.5","8107","8108","0.001943094888702035","0.001943094888702035","0.001943094888702035","0.0017596378456801176","0.0017596378456801176","0.0017596378456801176"
"53","8260.5","8260","8261","0.0025649582967162132","0.0025649582967162132","0.0025649582967162132","0.002029789611697197","0.002029789611697197","0.002029789611697197"
"54","8413.5","8413","8414","0.004609265364706516","0.004609265364706516","0.004609265364706516","0.003409754717722535","0.003409754717722535","0.003409754717722535"
"55","8566.5","8566","8567","0.0024965715128928423","0.0024965715128928423","0.0024965715128928423","0.001533294445835054","0.001533294445835054","0.001533294445835054"
"56","8719.5","8719","8720","0.001751612056978047","0.001751612056978047","0.001751612056978047","0.0014675817219540477","0.0014675817219540477","0.0014675817219540477"
"57","8872.5","8872","8873","0.003129376797005534","0.003129376797005534","0.003129376797005534","0.0015113902045413852","0.0015113902045413852","0.0015113902045413852"
"58","9025.5","9025","9026","0.001084157614968717","0.001084157614968717","0.001084157614968717","0.0011171144433319569","0.0011171144433319569","0.0011171144433319569"
"59","9178.5","9178","9179","0.0010367428185418248","0.0010367428185418248","0.0010367428185418248","0.0011463201371952891","0.0011463201371952891","0.0011463201371952891"
"60","9331.5","9331","9332","0.0010185063583776355","0.0010185063583776355","0.0010185063583776355","0.0010879088658839464","0.0010879088658839464","0.0010879088658839464"
"61","9484.5","9484","9485","0.0009574142168276012","0.0009574142168276012","0.0009574142168276012","0.0011098131071776152","0.0011098131071776152","0.0011098131071776152"
"62","9637.5","9637","9638","0.0010230655316263437","0.0010230655316263437","0.0010230655316263437","0.0011244158959016204","0.0011244158959016204","0.0011244158959016204"
"63","9790.5","9790","9791","0.000990239903330803","0.000990239903330803","0.000990239903330803","0.001058703288435936","0.001058703288435936","0.001058703288435936"
"64","9943.5","9943","9944","0.000978386146016419","0.000978386146016419","0.000978386146016419","0.0011390186846256256","0.0011390186846256256","0.0011390186846256256"
"65","10096.5","10096","10097","0.0010103000095114112","0.0010103000095114112","0.0010103000095114112","0.0011463201371952891","0.0011463201371952891","0.0011463201371952891"
"66","10249.5","10249","10250","0.0009811216732487082","0.0009811216732487082","0.0009811216732487082","0.00109521031845361","0.00109521031845361","0.00109521031845361"
"67","10402.5","10402","10403","0.000962885154876858","0.000962885154876858","0.000962885154876858","0.0011025116546079516","0.0011025116546079516","0.0011025116546079516"
"68","10555.5","10555","10556","0.0009920635493472219","0.0009920635493472219","0.0009920635493472219","0.0011171144433319569","0.0011171144433319569","0.0011171144433319569"
"69","10708.5","10708","10709","0.001002093544229865","0.001002093544229865","0.001002093544229865","0.001058703288435936","0.001058703288435936","0.001058703288435936"
"70","10861.5","10861","10862","0.0010166827123612165","0.0010166827123612165","0.0010166827123612165","0.0010514018358662724","0.0010514018358662724","0.0010514018358662724"
"71","11014.5","11014","11015","0.0009555905708111823","0.0009555905708111823","0.0009555905708111823","0.0010075934696942568","0.0010075934696942568","0.0010075934696942568"
"72","11167.5","11167","11168","0.0010276245884597301","0.0010276245884597301","0.0010276245884597301","0.0010441004997119308","0.0010441004997119308","0.0010441004997119308"
"73","11320.5","11320","11321","0.0009555905708111823","0.0009555905708111823","0.0009555905708111823","0.00109521031845361","0.00109521031845361","0.00109521031845361"
"74","11473.5","11473","11474","0.0009957108413800597","0.0009957108413800597","0.0009957108413800597","0.001131717232055962","0.001131717232055962","0.001131717232055962"
"75","11626.5","11626","11627","0.0009537669247947633","0.0009537669247947633","0.0009537669247947633","0.001241238322108984","0.001241238322108984","0.001241238322108984"
"76","11779.5","11779","11780","0.0009446486947126687","0.0009446486947126687","0.0009446486947126687","0.0012704438995569944","0.0012704438995569944","0.0012704438995569944"
"77","11932.5","11932","11933","0.0010485965758562088","0.0010485965758562088","0.0010485965758562088","0.0011098131071776152","0.0011098131071776152","0.0011098131071776152"
"78","12085.5","12085","12086","0.0010075644822791219","0.0010075644822791219","0.0010075644822791219","0.0011025116546079516","0.0011025116546079516","0.0011025116546079516"
"79","12238.5","12238","12239","0.0009820334380492568","0.0009820334380492568","0.0009820334380492568","0.0011171144433319569","0.0011171144433319569","0.0011171144433319569"
"80","12391.5","12391","12392","0.0009738270309753716","0.0009738270309753716","0.0009738270309753716","0.0014018691144883633","0.0014018691144883633","0.0014018691144883633"
