"epoch","MLP_o1_Base - _step","MLP_o1_Base - _step__MIN","MLP_o1_Base - _step__MAX","MLP_o1_Base - train_loss_epoch","MLP_o1_Base - train_loss_epoch__MIN","MLP_o1_Base - train_loss_epoch__MAX","MLP_o1_Base - val_loss_epoch","MLP_o1_Base - val_loss_epoch__MIN","MLP_o1_Base - val_loss_epoch__MAX"
"43","13374.5","13374","13375","0.03219282627105713","0.03219282627105713","0.03219282627105713","0.042384639382362366","0.042384639382362366","0.042384639382362366"
"44","13678.5","13678","13679","0.028616655617952347","0.028616655617952347","0.028616655617952347","0.02262704446911812","0.02262704446911812","0.02262704446911812"
"45","13982.5","13982","13983","0.023952679708600044","0.023952679708600044","0.023952679708600044","0.02029789797961712","0.02029789797961712","0.02029789797961712"
"46","14286.5","14286","14287","0.030230581760406494","0.030230581760406494","0.030230581760406494","0.01101051364094019","0.01101051364094019","0.01101051364094019"
"47","14590.5","14590","14591","0.027822457253932953","0.027822457253932953","0.027822457253932953","0.011521612294018269","0.011521612294018269","0.011521612294018269"
"48","14894.5","14894","14895","0.022710777819156647","0.022710777819156647","0.022710777819156647","0.007717581931501627","0.007717581931501627","0.007717581931501627"
"49","15198.5","15198","15199","0.02215365320444107","0.02215365320444107","0.02215365320444107","0.015902454033493996","0.015902454033493996","0.015902454033493996"
"50","15502.5","15502","15503","0.023371849209070206","0.023371849209070206","0.023371849209070206","0.008476927876472473","0.008476927876472473","0.008476927876472473"
"51","15806.5","15806","15807","0.020162232220172882","0.020162232220172882","0.020162232220172882","0.015362149104475975","0.015362149104475975","0.015362149104475975"
"52","16110.5","16110","16111","0.02425631694495678","0.02425631694495678","0.02425631694495678","0.011412091553211212","0.011412091553211212","0.011412091553211212"
"53","16414.5","16414","16415","0.02146340347826481","0.02146340347826481","0.02146340347826481","0.0074985395185649395","0.0074985395185649395","0.0074985395185649395"
"54","16718.5","16718","16719","0.018667753785848618","0.018667753785848618","0.018667753785848618","0.006870619021356106","0.006870619021356106","0.006870619021356106"
"55","17022.5","17022","17023","0.018635839223861694","0.018635839223861694","0.018635839223861694","0.011740653775632381","0.011740653775632381","0.011740653775632381"
"56","17326.5","17326","17327","0.018638575449585915","0.018638575449585915","0.018638575449585915","0.008849299512803555","0.008849299512803555","0.008849299512803555"
"57","17630.5","17630","17631","0.01703832484781742","0.01703832484781742","0.01703832484781742","0.006739194039255381","0.006739194039255381","0.006739194039255381"
"58","17934.5","17934","17935","0.016419198364019394","0.016419198364019394","0.016419198364019394","0.022729264572262764","0.022729264572262764","0.022729264572262764"
"59","18238.5","18238","18239","0.016661742702126503","0.016661742702126503","0.016661742702126503","0.005300817545503378","0.005300817545503378","0.005300817545503378"
"60","18542.5","18542","18543","0.01611282490193844","0.01611282490193844","0.01611282490193844","0.004979555960744619","0.004979555960744619","0.004979555960744619"
"61","18846.5","18846","18847","0.018400589004158974","0.018400589004158974","0.018400589004158974","0.007739486172795296","0.007739486172795296","0.007739486172795296"
"62","19150.5","19150","19151","0.015852956101298332","0.015852956101298332","0.015852956101298332","0.008820093236863613","0.008820093236863613","0.008820093236863613"
"63","19454.5","19454","19455","0.01490830723196268","0.01490830723196268","0.01490830723196268","0.00689982483163476","0.00689982483163476","0.00689982483163476"
"64","19758.5","19758","19759","0.015133527107536793","0.015133527107536793","0.015133527107536793","0.005045268684625626","0.005045268684625626","0.005045268684625626"
"65","20062.5","20062","20063","0.014516223222017288","0.014516223222017288","0.014516223222017288","0.009878796525299549","0.009878796525299549","0.009878796525299549"
"66","20366.5","20366","20367","0.013577044941484928","0.013577044941484928","0.013577044941484928","0.00430052587762475","0.00430052587762475","0.00430052587762475"
"67","20670.5","20670","20671","0.014364860951900482","0.014364860951900482","0.014364860951900482","0.008294392377138138","0.008294392377138138","0.008294392377138138"
"68","20974.5","20974","20975","0.01190111506730318","0.01190111506730318","0.01190111506730318","0.007600759156048298","0.007600759156048298","0.007600759156048298"
"69","21278.5","21278","21279","0.011719661764800549","0.011719661764800549","0.011719661764800549","0.005614778026938438","0.005614778026938438","0.005614778026938438"
"70","21582.5","21582","21583","0.012198369018733501","0.012198369018733501","0.012198369018733501","0.0065201520919799805","0.0065201520919799805","0.0065201520919799805"
"71","21886.5","21886","21887","0.013366414234042168","0.013366414234042168","0.013366414234042168","0.00664427550509572","0.00664427550509572","0.00664427550509572"
"72","22190.5","22190","22191","0.010821515694260597","0.010821515694260597","0.010821515694260597","0.003417056053876877","0.003417056053876877","0.003417056053876877"
"73","22494.5","22494","22495","0.010883520357310772","0.010883520357310772","0.010883520357310772","0.007009345572441816","0.007009345572441816","0.007009345572441816"
"74","22798.5","22798","22799","0.011830904521048069","0.011830904521048069","0.011830904521048069","0.003979263827204704","0.003979263827204704","0.003979263827204704"
"75","23102.5","23102","23103","0.010342809371650219","0.010342809371650219","0.010342809371650219","0.0062573011964559555","0.0062573011964559555","0.0062573011964559555"
"76","23406.5","23406","23407","0.011189892888069153","0.011189892888069153","0.011189892888069153","0.015194217674434185","0.015194217674434185","0.015194217674434185"
"77","23710.5","23710","23711","0.010008170269429684","0.010008170269429684","0.010008170269429684","0.007688376121222973","0.007688376121222973","0.007688376121222973"
"78","24014.5","24014","24015","0.010391135700047016","0.010391135700047016","0.010391135700047016","0.013419976457953453","0.013419976457953453","0.013419976457953453"
"79","24318.5","24318","24319","0.009679913520812988","0.009679913520812988","0.009679913520812988","0.008725175634026527","0.008725175634026527","0.008725175634026527"
"80","24622.5","24622","24623","0.009652558714151382","0.009652558714151382","0.009652558714151382","0.0045852805487811565","0.0045852805487811565","0.0045852805487811565"
"81","24926.5","24926","24927","0.009072639048099518","0.009072639048099518","0.009072639048099518","0.00620619161054492","0.00620619161054492","0.00620619161054492"
"82","25230.5","25230","25231","0.011308429762721062","0.011308429762721062","0.011308429762721062","0.005030666012316942","0.005030666012316942","0.005030666012316942"
"83","25534.5","25534","25535","0.010249802842736244","0.010249802842736244","0.010249802842736244","0.009878796525299549","0.009878796525299549","0.009878796525299549"
"84","25838.5","25838","25839","0.006600687280297279","0.006600687280297279","0.006600687280297279","0.002847546711564064","0.002847546711564064","0.002847546711564064"
"85","26142.5","26142","26143","0.006214986089617014","0.006214986089617014","0.006214986089617014","0.003030081745237112","0.003030081745237112","0.003030081745237112"
"86","26446.5","26446","26447","0.006058152299374342","0.006058152299374342","0.006058152299374342","0.0029132594354450703","0.0029132594354450703","0.0029132594354450703"
"87","26750.5","26750","26751","0.00580375362187624","0.00580375362187624","0.00580375362187624","0.003051985986530781","0.003051985986530781","0.003051985986530781"
"88","27054.5","27054","27055","0.005551178939640522","0.005551178939640522","0.005551178939640522","0.0028913551941514015","0.0028913551941514015","0.0028913551941514015"
"89","27358.5","27358","27359","0.0061110383830964565","0.0061110383830964565","0.0061110383830964565","0.0032564252614974976","0.0032564252614974976","0.0032564252614974976"
"90","27662.5","27662","27663","0.005847521126270294","0.005847521126270294","0.005847521126270294","0.0032564252614974976","0.0032564252614974976","0.0032564252614974976"
"91","27966.5","27966","27967","0.005605888087302446","0.005605888087302446","0.005605888087302446","0.0033805491402745247","0.0033805491402745247","0.0033805491402745247"
"92","28270.5","28270","28271","0.005489174742251635","0.005489174742251635","0.005489174742251635","0.0029132594354450703","0.0029132594354450703","0.0029132594354450703"
"93","28574.5","28574","28575","0.006002531386911869","0.006002531386911869","0.006002531386911869","0.00299357483163476","0.00299357483163476","0.00299357483163476"
"94","28878.5","28878","28879","0.005474585574120283","0.005474585574120283","0.005474585574120283","0.0027599299792200327","0.0027599299792200327","0.0027599299792200327"
"95","29182.5","29182","29183","0.0058402265422046185","0.0058402265422046185","0.0058402265422046185","0.003234521020203829","0.003234521020203829","0.003234521020203829"
"96","29486.5","29486","29487","0.005553002469241619","0.005553002469241619","0.005553002469241619","0.003044684650376439","0.003044684650376439","0.003044684650376439"
"97","29790.5","29790","29791","0.005449054762721062","0.005449054762721062","0.005449054762721062","0.0029351634439080954","0.0029351634439080954","0.0029351634439080954"
"98","30094.5","30094","30095","0.005235687829554081","0.005235687829554081","0.005235687829554081","0.0027088201604783535","0.0027088201604783535","0.0027088201604783535"
"99","30398.5","30398","30399","0.005647832062095404","0.005647832062095404","0.005647832062095404","0.002957067685201764","0.002957067685201764","0.002957067685201764"
"100","30702.5","30702","30703","0.005978823639452457","0.005978823639452457","0.005978823639452457","0.0028256424702703953","0.0028256424702703953","0.0028256424702703953"
"101","31006.5","31006","31007","0.005463643930852413","0.005463643930852413","0.005463643930852413","0.0031323013827204704","0.0031323013827204704","0.0031323013827204704"
"102","31310.5","31310","31311","0.005567591637372971","0.005567591637372971","0.005567591637372971","0.0030008761677891016","0.0030008761677891016","0.0030008761677891016"
"103","31614.5","31614","31615","0.005395256914198399","0.005395256914198399","0.005395256914198399","0.0028402453754097223","0.0028402453754097223","0.0028402453754097223"
"104","31918.5","31918","31919","0.005702541209757328","0.005702541209757328","0.005702541209757328","0.003088492900133133","0.003088492900133133","0.003088492900133133"
"105","32222.5","32222","32223","0.005325958598405123","0.005325958598405123","0.005325958598405123","0.0028913551941514015","0.0028913551941514015","0.0028913551941514015"
"106","32526.5","32526","32527","0.005370637867599726","0.005370637867599726","0.005370637867599726","0.003504672786220908","0.003504672786220908","0.003504672786220908"
"107","32830.5","32830","32831","0.005310457665473223","0.005310457665473223","0.005310457665473223","0.0029424650128930807","0.0029424650128930807","0.0029424650128930807"
"108","33134.5","33134","33135","0.0055475314147770405","0.0055475314147770405","0.0055475314147770405","0.0027818342205137014","0.0027818342205137014","0.0027818342205137014"
"109","33438.5","33438","33439","0.005646920297294855","0.005646920297294855","0.005646920297294855","0.003336740657687187","0.003336740657687187","0.003336740657687187"
"110","33742.5","33742","33743","0.005093443673104048","0.005093443673104048","0.005093443673104048","0.0025627920404076576","0.0025627920404076576","0.0025627920404076576"
"111","34046.5","34046","34047","0.0050560589879751205","0.0050560589879751205","0.0050560589879751205","0.002905957866460085","0.002905957866460085","0.002905957866460085"
"112","34350.5","34350","34351","0.0048527223989367485","0.0048527223989367485","0.0048527223989367485","0.002723422832787037","0.002723422832787037","0.002723422832787037"
"113","34654.5","34654","34655","0.004952111281454563","0.004952111281454563","0.004952111281454563","0.0028037382289767265","0.0028037382289767265","0.0028037382289767265"
"114","34958.5","34958","34959","0.004936609882861376","0.004936609882861376","0.004936609882861376","0.002723422832787037","0.002723422832787037","0.002723422832787037"
"115","35262.5","35262","35263","0.005604976322501898","0.005604976322501898","0.005604976322501898","0.0035484812688082457","0.0035484812688082457","0.0035484812688082457"
"116","35566.5","35566","35567","0.005329605657607317","0.005329605657607317","0.005329605657607317","0.0029132594354450703","0.0029132594354450703","0.0029132594354450703"
"117","35870.5","35870","35871","0.005021409597247839","0.005021409597247839","0.005021409597247839","0.002665011677891016","0.002665011677891016","0.002665011677891016"
"118","36174.5","36174","36175","0.005066088866442442","0.005066088866442442","0.005066088866442442","0.002774532651528716","0.002774532651528716","0.002774532651528716"
"119","36478.5","36478","36479","0.004919285420328379","0.004919285420328379","0.004919285420328379","0.002905957866460085","0.002905957866460085","0.002905957866460085"
"120","36782.5","36782","36783","0.005078854504972696","0.005078854504972696","0.005078854504972696","0.0028402453754097223","0.0028402453754097223","0.0028402453754097223"
"121","37086.5","37086","37087","0.004958493635058403","0.004958493635058403","0.004958493635058403","0.0028256424702703953","0.0028256424702703953","0.0028256424702703953"
"122","37390.5","37390","37391","0.004804395604878664","0.004804395604878664","0.004804395604878664","0.0028694509528577328","0.0028694509528577328","0.0028694509528577328"
"123","37694.5","37694","37695","0.00445334380492568","0.00445334380492568","0.00445334380492568","0.002774532651528716","0.002774532651528716","0.002774532651528716"
"124","37998.5","37998","37999","0.004860928747802973","0.004860928747802973","0.004860928747802973","0.0027088201604783535","0.0027088201604783535","0.0027088201604783535"
"125","38302.5","38302","38303","0.00524115888401866","0.00524115888401866","0.00524115888401866","0.00310309580527246","0.00310309580527246","0.00310309580527246"
"126","38606.5","38606","38607","0.004959405865520239","0.004959405865520239","0.004959405865520239","0.002628504764288664","0.002628504764288664","0.002628504764288664"
"127","38910.5","38910","38911","0.0047296262346208096","0.0047296262346208096","0.0047296262346208096","0.002716121496632695","0.002716121496632695","0.002716121496632695"
"128","39214.5","39214","39215","0.004732361529022455","0.004732361529022455","0.004732361529022455","0.0030227804090827703","0.0030227804090827703","0.0030227804090827703"
"129","39518.5","39518","39519","0.004911990836262703","0.004911990836262703","0.004911990836262703","0.0027818342205137014","0.0027818342205137014","0.0027818342205137014"
"130","39822.5","39822","39823","0.004522642586380243","0.004522642586380243","0.004522642586380243","0.0025773949455469847","0.0025773949455469847","0.0025773949455469847"
"131","40126.5","40126","40127","0.005039646290242672","0.005039646290242672","0.005039646290242672","0.0027307244017720222","0.0027307244017720222","0.0027307244017720222"
"132","40430.5","40430","40431","0.0048673115670681","0.0048673115670681","0.0048673115670681","0.0026212031953036785","0.0026212031953036785","0.0026212031953036785"
"133","40734.5","40734","40735","0.004958493635058403","0.004958493635058403","0.004958493635058403","0.002679614583030343","0.002679614583030343","0.002679614583030343"
"134","41038.5","41038","41039","0.0052502769976854324","0.0052502769976854324","0.0052502769976854324","0.0028329440392553806","0.0028329440392553806","0.0028329440392553806"
"135","41342.5","41342","41343","0.004746038932353258","0.004746038932353258","0.004746038932353258","0.0023948599118739367","0.0023948599118739367","0.0023948599118739367"
"136","41646.5","41646","41647","0.004802572075277567","0.004802572075277567","0.004802572075277567","0.0026869159191846848","0.0026869159191846848","0.0026869159191846848"
"137","41950.5","41950","41951","0.005113503895699978","0.005113503895699978","0.005113503895699978","0.0026723130140453577","0.0026723130140453577","0.0026723130140453577"
"138","42254.5","42254","42255","0.005346018821001053","0.005346018821001053","0.005346018821001053","0.003030081745237112","0.003030081745237112","0.003030081745237112"
"139","42558.5","42558","42559","0.00521471630781889","0.00521471630781889","0.00521471630781889","0.0027599299792200327","0.0027599299792200327","0.0027599299792200327"
"140","42862.5","42862","42863","0.004810778424143791","0.004810778424143791","0.004810778424143791","0.0026577103417366743","0.0026577103417366743","0.0026577103417366743"
"141","43166.5","43166","43167","0.005110768135637045","0.005110768135637045","0.005110768135637045","0.0028767522890120745","0.0028767522890120745","0.0028767522890120745"
"142","43470.5","43470","43471","0.004893754608929157","0.004893754608929157","0.004893754608929157","0.0028256424702703953","0.0028256424702703953","0.0028256424702703953"
"143","43774.5","43774","43775","0.004658503923565149","0.004658503923565149","0.004658503923565149","0.0031688082963228226","0.0031688082963228226","0.0031688082963228226"
"144","44078.5","44078","44079","0.004790718201547861","0.004790718201547861","0.004790718201547861","0.002679614583030343","0.002679614583030343","0.002679614583030343"
"145","44382.5","44382","44383","0.00539434514939785","0.00539434514939785","0.00539434514939785","0.0027818342205137014","0.0027818342205137014","0.0027818342205137014"
"146","44686.5","44686","44687","0.004892842378467321","0.004892842378467321","0.004892842378467321","0.0025481893680989742","0.0025481893680989742","0.0025481893680989742"
"147","44990.5","44990","44991","0.005264866165816784","0.005264866165816784","0.005264866165816784","0.0028548480477184057","0.0028548480477184057","0.0028548480477184057"
"148","45294.5","45294","45295","0.004967612214386463","0.004967612214386463","0.004967612214386463","0.0027818342205137014","0.0027818342205137014","0.0027818342205137014"
"149","45598.5","45598","45599","0.005055147223174572","0.005055147223174572","0.005055147223174572","0.0026358061004430056","0.0026358061004430056","0.0026358061004430056"
"150","45902.5","45902","45903","0.0050560589879751205","0.0050560589879751205","0.0050560589879751205","0.0026942172553390265","0.0026942172553390265","0.0026942172553390265"
"151","46206.5","46206","46207","0.004945728462189436","0.004945728462189436","0.004945728462189436","0.0024751753080636263","0.0024751753080636263","0.0024751753080636263"
"152","46510.5","46510","46511","0.005008643958717585","0.005008643958717585","0.005008643958717585","0.0029424650128930807","0.0029424650128930807","0.0029424650128930807"
"153","46814.5","46814","46815","0.004947551991790533","0.004947551991790533","0.004947551991790533","0.0026577103417366743","0.0026577103417366743","0.0026577103417366743"
"154","47118.5","47118","47119","0.004830838646739721","0.004830838646739721","0.004830838646739721","0.0028694509528577328","0.0028694509528577328","0.0028694509528577328"
"155","47422.5","47422","47423","0.004736009053885937","0.004736009053885937","0.004736009053885937","0.002606600522994995","0.002606600522994995","0.002606600522994995"
"156","47726.5","47726","47727","0.004626590292900801","0.004626590292900801","0.004626590292900801","0.002796436892822385","0.002796436892822385","0.002796436892822385"
"157","48030.5","48030","48031","0.004795277491211891","0.004795277491211891","0.004795277491211891","0.0028548480477184057","0.0028548480477184057","0.0028548480477184057"
"158","48334.5","48334","48335","0.004917461890727282","0.004917461890727282","0.004917461890727282","0.0027672313153743744","0.0027672313153743744","0.0027672313153743744"
"159","48638.5","48638","48639","0.004666710272431374","0.004666710272431374","0.004666710272431374","0.0024605724029242992","0.0024605724029242992","0.0024605724029242992"
"160","48942.5","48942","48943","0.004892842378467321","0.004892842378467321","0.004892842378467321","0.0027088201604783535","0.0027088201604783535","0.0027088201604783535"
"161","49246.5","49246","49247","0.005146329291164875","0.005146329291164875","0.005146329291164875","0.0025116822216659784","0.0025116822216659784","0.0025116822216659784"
"162","49550.5","49550","49551","0.00478068832308054","0.00478068832308054","0.00478068832308054","0.0026431074365973473","0.0026431074365973473","0.0026431074365973473"
"163","49854.5","49854","49855","0.0048673115670681","0.0048673115670681","0.0048673115670681","0.0029643692541867495","0.0029643692541867495","0.0029643692541867495"
"164","50158.5","50158","50159","0.004844516050070524","0.004844516050070524","0.004844516050070524","0.0029643692541867495","0.0029643692541867495","0.0029643692541867495"
"165","50462.5","50462","50463","0.004963052924722433","0.004963052924722433","0.004963052924722433","0.002679614583030343","0.002679614583030343","0.002679614583030343"
"166","50766.5","50766","50767","0.004507141187787056","0.004507141187787056","0.004507141187787056","0.0028767522890120745","0.0028767522890120745","0.0028767522890120745"
"167","51070.5","51070","51071","0.005074295215308666","0.005074295215308666","0.005074295215308666","0.002701518591493368","0.002701518591493368","0.002701518591493368"
"168","51374.5","51374","51375","0.005033263470977545","0.005033263470977545","0.005033263470977545","0.002701518591493368","0.002701518591493368","0.002701518591493368"
"169","51678.5","51678","51679","0.004895578138530254","0.004895578138530254","0.004895578138530254","0.0030373830813914537","0.0030373830813914537","0.0030373830813914537"
"170","51982.5","51982","51983","0.004720508120954037","0.004720508120954037","0.004720508120954037","0.002679614583030343","0.002679614583030343","0.002679614583030343"
"171","52286.5","52286","52287","0.005118974484503269","0.005118974484503269","0.005118974484503269","0.0027599299792200327","0.0027599299792200327","0.0027599299792200327"
"172","52590.5","52590","52591","0.005159094929695129","0.005159094929695129","0.005159094929695129","0.0027307244017720222","0.0027307244017720222","0.0027307244017720222"
"173","52894.5","52894","52895","0.005055147223174572","0.005055147223174572","0.005055147223174572","0.0028694509528577328","0.0028694509528577328","0.0028694509528577328"
"174","53198.5","53198","53199","0.0049156383611261845","0.0049156383611261845","0.0049156383611261845","0.0027307244017720222","0.0027307244017720222","0.0027307244017720222"
"175","53502.5","53502","53503","0.004647562280297279","0.004647562280297279","0.004647562280297279","0.0031250000465661287","0.0031250000465661287","0.0031250000465661287"
"176","53806.5","53806","53807","0.0045709689147770405","0.0045709689147770405","0.0045709689147770405","0.0024167639203369617","0.0024167639203369617","0.0024167639203369617"
"177","54110.5","54110","54111","0.004763363860547543","0.004763363860547543","0.004763363860547543","0.0025700933765619993","0.0025700933765619993","0.0025700933765619993"
"178","54414.5","54414","54415","0.00483175041154027","0.00483175041154027","0.00483175041154027","0.0028986565303057432","0.0028986565303057432","0.0028986565303057432"
"179","54718.5","54718","54719","0.004982201382517815","0.004982201382517815","0.004982201382517815","0.002920560771599412","0.002920560771599412","0.002920560771599412"
"180","55022.5","55022","55023","0.004715948831290007","0.004715948831290007","0.004715948831290007","0.002540887799113989","0.002540887799113989","0.002540887799113989"
"181","55326.5","55326","55327","0.004826279357075691","0.004826279357075691","0.004826279357075691","0.0025992989540100098","0.0025992989540100098","0.0025992989540100098"
"182","55630.5","55630","55631","0.004947551991790533","0.004947551991790533","0.004947551991790533","0.002591997617855668","0.002591997617855668","0.002591997617855668"
"183","55934.5","55934","55935","0.0047250669449567795","0.0047250669449567795","0.0047250669449567795","0.003044684650376439","0.003044684650376439","0.003044684650376439"
"184","56238.5","56238","56239","0.005009555723518133","0.005009555723518133","0.005009555723518133","0.002796436892822385","0.002796436892822385","0.002796436892822385"
"185","56542.5","56542","56543","0.0048636640422046185","0.0048636640422046185","0.0048636640422046185","0.0027307244017720222","0.0027307244017720222","0.0027307244017720222"
"186","56846.5","56846","56847","0.004804395604878664","0.004804395604878664","0.004804395604878664","0.0028329440392553806","0.0028329440392553806","0.0028329440392553806"
"187","57150.5","57150","57151","0.004923844709992409","0.004923844709992409","0.004923844709992409","0.002482476644217968","0.002482476644217968","0.002482476644217968"
"188","57454.5","57454","57455","0.00521471630781889","0.00521471630781889","0.00521471630781889","0.0025992989540100098","0.0025992989540100098","0.0025992989540100098"
"189","57758.5","57758","57759","0.004865488037467003","0.004865488037467003","0.004865488037467003","0.0025992989540100098","0.0025992989540100098","0.0025992989540100098"
"190","58062.5","58062","58063","0.004663063213229179","0.004663063213229179","0.004663063213229179","0.0025627920404076576","0.0025627920404076576","0.0025627920404076576"
