"epoch","MLP_full_Base - _step","MLP_full_Base - _step__MIN","MLP_full_Base - _step__MAX","MLP_full_Base - train_loss_epoch","MLP_full_Base - train_loss_epoch__MIN","MLP_full_Base - train_loss_epoch__MAX","MLP_full_Base - val_loss_epoch","MLP_full_Base - val_loss_epoch__MIN","MLP_full_Base - val_loss_epoch__MAX"
"44","13678.5","13678","13679","0.021616589277982712","0.021616589277982712","0.021616589277982712","0.006753796711564064","0.006753796711564064","0.006753796711564064"
"45","13982.5","13982","13983","0.019768323749303818","0.019768323749303818","0.019768323749303818","0.026949474588036537","0.026949474588036537","0.026949474588036537"
"46","14286.5","14286","14287","0.021312952041625977","0.021312952041625977","0.021312952041625977","0.006213493179529905","0.006213493179529905","0.006213493179529905"
"47","14590.5","14590","14591","0.017359286546707153","0.017359286546707153","0.017359286546707153","0.007695677690207958","0.007695677690207958","0.007695677690207958"
"48","14894.5","14894","14895","0.01895497739315033","0.01895497739315033","0.01895497739315033","0.004453855101019144","0.004453855101019144","0.004453855101019144"
"49","15198.5","15198","15199","0.017329197376966476","0.017329197376966476","0.017329197376966476","0.01058703288435936","0.01058703288435936","0.01058703288435936"
"50","15502.5","15502","15503","0.015848396345973015","0.015848396345973015","0.015848396345973015","0.009301985614001751","0.009301985614001751","0.009301985614001751"
"51","15806.5","15806","15807","0.015213767997920513","0.015213767997920513","0.015213767997920513","0.005169392563402653","0.005169392563402653","0.005169392563402653"
"52","16110.5","16110","16111","0.014061223715543747","0.014061223715543747","0.014061223715543747","0.008279790170490742","0.008279790170490742","0.008279790170490742"
"53","16414.5","16414","16415","0.017527975142002106","0.017527975142002106","0.017527975142002106","0.013806951232254505","0.013806951232254505","0.013806951232254505"
"54","16718.5","16718","16719","0.01607726514339447","0.01607726514339447","0.01607726514339447","0.005527161061763763","0.005527161061763763","0.005527161061763763"
"55","17022.5","17022","17023","0.014550872147083282","0.014550872147083282","0.014550872147083282","0.004147196188569069","0.004147196188569069","0.004147196188569069"
"56","17326.5","17326","17327","0.012957917526364326","0.012957917526364326","0.012957917526364326","0.0046509928070008755","0.0046509928070008755","0.0046509928070008755"
"57","17630.5","17630","17631","0.010309983044862747","0.010309983044862747","0.010309983044862747","0.011996203102171421","0.011996203102171421","0.011996203102171421"
"58","17934.5","17934","17935","0.012087126262485981","0.012087126262485981","0.012087126262485981","0.0035849884152412415","0.0035849884152412415","0.0035849884152412415"
"59","18238.5","18238","18239","0.012247607111930847","0.012247607111930847","0.012247607111930847","0.003482768777757883","0.003482768777757883","0.003482768777757883"
"60","18542.5","18542","18543","0.011592918075621128","0.011592918075621128","0.011592918075621128","0.0037967290263623","0.0037967290263623","0.0037967290263623"
"61","18846.5","18846","18847","0.011334872804582119","0.011334872804582119","0.011334872804582119","0.004862733650952578","0.004862733650952578","0.004862733650952578"
"62","19150.5","19150","19151","0.01210353896021843","0.01210353896021843","0.01210353896021843","0.016355140134692192","0.016355140134692192","0.016355140134692192"
"63","19454.5","19454","19455","0.010674712248146534","0.010674712248146534","0.010674712248146534","0.008644860237836838","0.008644860237836838","0.008644860237836838"
"64","19758.5","19758","19759","0.00926047470420599","0.00926047470420599","0.00926047470420599","0.004986857529729605","0.004986857529729605","0.004986857529729605"
"65","20062.5","20062","20063","0.010845223441720009","0.010845223441720009","0.010845223441720009","0.0034900701139122248","0.0034900701139122248","0.0034900701139122248"
"66","20366.5","20366","20367","0.00899969320744276","0.00899969320744276","0.00899969320744276","0.004972254857420921","0.004972254857420921","0.004972254857420921"
"67","20670.5","20670","20671","0.009839482605457306","0.009839482605457306","0.009839482605457306","0.01354410033673048","0.01354410033673048","0.01354410033673048"
"68","20974.5","20974","20975","0.00903343129903078","0.00903343129903078","0.00903343129903078","0.00973276887089014","0.00973276887089014","0.00973276887089014"
"69","21278.5","21278","21279","0.009037078358232975","0.009037078358232975","0.009037078358232975","0.0026358061004430056","0.0026358061004430056","0.0026358061004430056"
"70","21582.5","21582","21583","0.007913712412118912","0.007913712412118912","0.007913712412118912","0.0028183411341160536","0.0028183411341160536","0.0028183411341160536"
"71","21886.5","21886","21887","0.007862649857997894","0.007862649857997894","0.007862649857997894","0.002905957866460085","0.002905957866460085","0.002905957866460085"
"72","22190.5","22190","22191","0.009169292636215687","0.009169292636215687","0.009169292636215687","0.007023948710411787","0.007023948710411787","0.007023948710411787"
"73","22494.5","22494","22495","0.00916108675301075","0.00916108675301075","0.00916108675301075","0.007790595758706331","0.007790595758706331","0.007790595758706331"
"74","22798.5","22798","22799","0.007704904768615961","0.007704904768615961","0.007704904768615961","0.0028548480477184057","0.0028548480477184057","0.0028548480477184057"
"75","23102.5","23102","23103","0.010151325725018978","0.010151325725018978","0.010151325725018978","0.006848714780062437","0.006848714780062437","0.006848714780062437"
"76","23406.5","23406","23407","0.008031337521970272","0.008031337521970272","0.008031337521970272","0.007155373692512512","0.007155373692512512","0.007155373692512512"
"77","23710.5","23710","23711","0.00777237955480814","0.00777237955480814","0.00777237955480814","0.007834403775632381","0.007834403775632381","0.007834403775632381"
"78","24014.5","24014","24015","0.007620105519890785","0.007620105519890785","0.007620105519890785","0.003709112061187625","0.003709112061187625","0.003709112061187625"
"79","24318.5","24318","24319","0.007988481782376766","0.007988481782376766","0.007988481782376766","0.0036580022424459457","0.0036580022424459457","0.0036580022424459457"
"80","24622.5","24622","24623","0.008189994841814041","0.008189994841814041","0.008189994841814041","0.0024386681616306305","0.0024386681616306305","0.0024386681616306305"
"81","24926.5","24926","24927","0.0069754463620483875","0.0069754463620483875","0.0069754463620483875","0.0021977219730615616","0.0021977219730615616","0.0021977219730615616"
"82","25230.5","25230","25231","0.007000977639108896","0.007000977639108896","0.007000977639108896","0.0062573011964559555","0.0062573011964559555","0.0062573011964559555"
"83","25534.5","25534","25535","0.00726540619507432","0.00726540619507432","0.00726540619507432","0.005322721786797047","0.005322721786797047","0.005322721786797047"
"84","25838.5","25838","25839","0.006239605136215687","0.006239605136215687","0.006239605136215687","0.002431366825476289","0.002431366825476289","0.002431366825476289"
"85","26142.5","26142","26143","0.0064949155785143375","0.0064949155785143375","0.0064949155785143375","0.007045852951705456","0.007045852951705456","0.007045852951705456"
"86","26446.5","26446","26447","0.006950827315449715","0.006950827315449715","0.006950827315449715","0.006629672832787037","0.006629672832787037","0.006629672832787037"
"87","26750.5","26750","26751","0.006185807753354311","0.006185807753354311","0.006185807753354311","0.005534462630748749","0.005534462630748749","0.005534462630748749"
"88","27054.5","27054","27055","0.007491538301110268","0.007491538301110268","0.007491538301110268","0.006337616592645645","0.006337616592645645","0.006337616592645645"
"89","27358.5","27358","27359","0.006655396427959204","0.006655396427959204","0.006655396427959204","0.002351051429286599","0.002351051429286599","0.002351051429286599"
"90","27662.5","27662","27663","0.00726084690541029","0.00726084690541029","0.00726084690541029","0.0035630841739475727","0.0035630841739475727","0.0035630841739475727"
"91","27966.5","27966","27967","0.007706728298217058","0.007706728298217058","0.007706728298217058","0.008564544841647148","0.008564544841647148","0.008564544841647148"
"92","28270.5","28270","28271","0.005976088345050812","0.005976088345050812","0.005976088345050812","0.0018107476644217968","0.0018107476644217968","0.0018107476644217968"
"93","28574.5","28574","28575","0.005765457171946764","0.005765457171946764","0.005765457171946764","0.0026869159191846848","0.0026869159191846848","0.0026869159191846848"
"94","28878.5","28878","28879","0.005942350719124079","0.005942350719124079","0.005942350719124079","0.007666471879929304","0.007666471879929304","0.007666471879929304"
"95","29182.5","29182","29183","0.006450236309319735","0.006450236309319735","0.006450236309319735","0.0020151869393885136","0.0020151869393885136","0.0020151869393885136"
"96","29486.5","29486","29487","0.00642652902752161","0.00642652902752161","0.00642652902752161","0.0019202686380594969","0.0019202686380594969","0.0019202686380594969"
"97","29790.5","29790","29791","0.005617741961032152","0.005617741961032152","0.005617741961032152","0.0020151869393885136","0.0020151869393885136","0.0020151869393885136"
"98","30094.5","30094","30095","0.005820166785269976","0.005820166785269976","0.005820166785269976","0.0031834112014621496","0.0031834112014621496","0.0031834112014621496"
"99","30398.5","30398","30399","0.0059049660339951515","0.0059049660339951515","0.0059049660339951515","0.004052278120070696","0.004052278120070696","0.004052278120070696"
"100","30702.5","30702","30703","0.006786698941141367","0.006786698941141367","0.006786698941141367","0.002905957866460085","0.002905957866460085","0.002905957866460085"
"101","31006.5","31006","31007","0.006710106041282415","0.006710106041282415","0.006710106041282415","0.00240946258418262","0.00240946258418262","0.00240946258418262"
"102","31310.5","31310","31311","0.005571238696575165","0.005571238696575165","0.005571238696575165","0.0057096960954368114","0.0057096960954368114","0.0057096960954368114"
"103","31614.5","31614","31615","0.00541440537199378","0.00541440537199378","0.00541440537199378","0.0038040303625166416","0.0038040303625166416","0.0038040303625166416"
"104","31918.5","31918","31919","0.0037667411379516125","0.0037667411379516125","0.0037667411379516125","0.0013434579595923424","0.0013434579595923424","0.0013434579595923424"
"105","32222.5","32222","32223","0.0031439659651368856","0.0031439659651368856","0.0031439659651368856","0.0014018691144883633","0.0014018691144883633","0.0014018691144883633"
"106","32526.5","32526","32527","0.0034858996514230967","0.0034858996514230967","0.0034858996514230967","0.0014456775970757008","0.0014456775970757008","0.0014456775970757008"
"107","32830.5","32830","32831","0.003244266379624605","0.003244266379624605","0.003244266379624605","0.0015771028120070696","0.0015771028120070696","0.0015771028120070696"
"108","33134.5","33134","33135","0.003278004005551338","0.003278004005551338","0.003278004005551338","0.0016209111781790853","0.0016209111781790853","0.0016209111781790853"
"109","33438.5","33438","33439","0.0032533847261220217","0.0032533847261220217","0.0032533847261220217","0.0012193340808153152","0.0012193340808153152","0.0012193340808153152"
"110","33742.5","33742","33743","0.003271621186286211","0.003271621186286211","0.003271621186286211","0.0025116822216659784","0.0025116822216659784","0.0025116822216659784"
"111","34046.5","34046","34047","0.003107493044808507","0.003107493044808507","0.003107493044808507","0.0018326519057154655","0.0018326519057154655","0.0018326519057154655"
"112","34350.5","34350","34351","0.0033153886906802654","0.0033153886906802654","0.0033153886906802654","0.001277745352126658","0.001277745352126658","0.001277745352126658"
"113","34654.5","34654","34655","0.003244266379624605","0.003244266379624605","0.003244266379624605","0.0013434579595923424","0.0013434579595923424","0.0013434579595923424"
"114","34958.5","34958","34959","0.0030710201244801283","0.0030710201244801283","0.0030710201244801283","0.0014456775970757008","0.0014456775970757008","0.0014456775970757008"
"115","35262.5","35262","35263","0.0030318116769194603","0.0030318116769194603","0.0030318116769194603","0.0013215537182986736","0.0013215537182986736","0.0013215537182986736"
"116","35566.5","35566","35567","0.003175879828631878","0.003175879828631878","0.003175879828631878","0.0018910630606114864","0.0018910630606114864","0.0018910630606114864"
"117","35870.5","35870","35871","0.0033245068043470383","0.0033245068043470383","0.0033245068043470383","0.0014383761445060372","0.0014383761445060372","0.0014383761445060372"
"118","36174.5","36174","36175","0.0030810502357780933","0.0030810502357780933","0.0030810502357780933","0.0011901285033673048","0.0011901285033673048","0.0011901285033673048"
"119","36478.5","36478","36479","0.0029342465568333864","0.0029342465568333864","0.0029342465568333864","0.0014456775970757008","0.0014456775970757008","0.0014456775970757008"
"120","36782.5","36782","36783","0.0030281643848866224","0.0030281643848866224","0.0030281643848866224","0.0014091705670580268","0.0014091705670580268","0.0014091705670580268"
"121","37086.5","37086","37087","0.003019958036020398","0.003019958036020398","0.003019958036020398","0.001314252382144332","0.001314252382144332","0.001314252382144332"
"122","37390.5","37390","37391","0.0029132745694369078","0.0029132745694369078","0.0029132745694369078","0.0017012266907840967","0.0017012266907840967","0.0017012266907840967"
"123","37694.5","37694","37695","0.0030345472041517496","0.0030345472041517496","0.0030345472041517496","0.0014018691144883633","0.0014018691144883633","0.0014018691144883633"
"124","37998.5","37998","37999","0.0030655490700155497","0.0030655490700155497","0.0030655490700155497","0.0015990070533007383","0.0015990070533007383","0.0015990070533007383"
"125","38302.5","38302","38303","0.0029506594873964787","0.0029506594873964787","0.0029506594873964787","0.001533294445835054","0.001533294445835054","0.001533294445835054"
"126","38606.5","38606","38607","0.0028375934343785048","0.0028375934343785048","0.0028375934343785048","0.0013726635370403528","0.0013726635370403528","0.0013726635370403528"
"127","38910.5","38910","38911","0.0030737556517124176","0.0030737556517124176","0.0030737556517124176","0.0014310748083516955","0.0014310748083516955","0.0014310748083516955"
"128","39214.5","39214","39215","0.002874978119507432","0.002874978119507432","0.002874978119507432","0.001314252382144332","0.001314252382144332","0.001314252382144332"
"129","39518.5","39518","39519","0.0031102285720407963","0.0031102285720407963","0.0031102285720407963","0.0016647196607664227","0.0016647196607664227","0.0016647196607664227"
"130","39822.5","39822","39823","0.003103845752775669","0.003103845752775669","0.003103845752775669","0.0013069509295746684","0.0013069509295746684","0.0013069509295746684"
"131","40126.5","40126","40127","0.0027573530096560717","0.0027573530096560717","0.0027573530096560717","0.0016209111781790853","0.0016209111781790853","0.0016209111781790853"
"132","40430.5","40430","40431","0.002851270604878664","0.002851270604878664","0.002851270604878664","0.0014894859632477164","0.0014894859632477164","0.0014894859632477164"
"133","40734.5","40734","40735","0.0026296977885067463","0.0026296977885067463","0.0026296977885067463","0.00109521031845361","0.00109521031845361","0.00109521031845361"
"134","41038.5","41038","41039","0.0026962608098983765","0.0026962608098983765","0.0026962608098983765","0.0012996494770050049","0.0012996494770050049","0.0012996494770050049"
"135","41342.5","41342","41343","0.0029424531385302544","0.0029424531385302544","0.0029424531385302544","0.0011755257146432996","0.0011755257146432996","0.0011755257146432996"
"136","41646.5","41646","41647","0.0033390959724783897","0.0033390959724783897","0.0033390959724783897","0.001131717232055962","0.001131717232055962","0.001131717232055962"
"137","41950.5","41950","41951","0.002948835724964738","0.002948835724964738","0.002948835724964738","0.0014894859632477164","0.0014894859632477164","0.0014894859632477164"
"138","42254.5","42254","42255","0.002630609553307295","0.002630609553307295","0.002630609553307295","0.0012850466882809997","0.0012850466882809997","0.0012850466882809997"
"139","42558.5","42558","42559","0.002481982344761491","0.002481982344761491","0.002481982344761491","0.0013361565070226789","0.0013361565070226789","0.0013361565070226789"
"140","42862.5","42862","42863","0.002910539275035262","0.002910539275035262","0.002910539275035262","0.0014821846270933747","0.0014821846270933747","0.0014821846270933747"
"141","43166.5","43166","43167","0.0026470222510397434","0.0026470222510397434","0.0026470222510397434","0.0013288551708683372","0.0013288551708683372","0.0013288551708683372"
"142","43470.5","43470","43471","0.002709026215597987","0.002709026215597987","0.002709026215597987","0.0010148948058485985","0.0010148948058485985","0.0010148948058485985"
"143","43774.5","43774","43775","0.002884096233174205","0.002884096233174205","0.002884096233174205","0.0017304322682321072","0.0017304322682321072","0.0017304322682321072"
"144","44078.5","44078","44079","0.002581370994448662","0.002581370994448662","0.002581370994448662","0.0012996494770050049","0.0012996494770050049","0.0012996494770050049"
"145","44382.5","44382","44383","0.0026771125849336386","0.0026771125849336386","0.0026771125849336386","0.0011755257146432996","0.0011755257146432996","0.0011755257146432996"
"146","44686.5","44686","44687","0.0028676835354417562","0.0028676835354417562","0.0028676835354417562","0.0011390186846256256","0.0011390186846256256","0.0011390186846256256"
"147","44990.5","44990","44991","0.002554928185418248","0.002554928185418248","0.002554928185418248","0.0011171144433319569","0.0011171144433319569","0.0011171144433319569"
"148","45294.5","45294","45295","0.0027345572598278522","0.0027345572598278522","0.0027345572598278522","0.0011974299559369683","0.0011974299559369683","0.0011974299559369683"
"149","45598.5","45598","45599","0.002868595300242305","0.002868595300242305","0.002868595300242305","0.001460280385799706","0.001460280385799706","0.001460280385799706"
"150","45902.5","45902","45903","0.0026160203851759434","0.0026160203851759434","0.0026160203851759434","0.0012996494770050049","0.0012996494770050049","0.0012996494770050049"
"151","46206.5","46206","46207","0.0027573530096560717","0.0027573530096560717","0.0027573530096560717","0.0011901285033673048","0.0011901285033673048","0.0011901285033673048"
"152","46510.5","46510","46511","0.00246921693906188","0.00246921693906188","0.00246921693906188","0.001131717232055962","0.001131717232055962","0.001131717232055962"
"153","46814.5","46814","46815","0.002923304680734873","0.002923304680734873","0.002923304680734873","0.0013361565070226789","0.0013361565070226789","0.0013361565070226789"
"154","47118.5","47118","47119","0.0027026436291635036","0.0027026436291635036","0.0027026436291635036","0.0012704438995569944","0.0012704438995569944","0.0012704438995569944"
"155","47422.5","47422","47423","0.002755529247224331","0.002755529247224331","0.002755529247224331","0.0014529789332300425","0.0014529789332300425","0.0014529789332300425"
"156","47726.5","47726","47727","0.0026041667442768812","0.0026041667442768812","0.0026041667442768812","0.0012266355333849788","0.0012266355333849788","0.0012266355333849788"
"157","48030.5","48030","48031","0.00270720268599689","0.00270720268599689","0.00270720268599689","0.0014383761445060372","0.0014383761445060372","0.0014383761445060372"
"158","48334.5","48334","48335","0.002661611419171095","0.002661611419171095","0.002661611419171095","0.0012923481408506632","0.0012923481408506632","0.0012923481408506632"
"159","48638.5","48638","48639","0.0024828941095620394","0.0024828941095620394","0.0024828941095620394","0.0012193340808153152","0.0012193340808153152","0.0012193340808153152"
"160","48942.5","48942","48943","0.002632433082908392","0.002632433082908392","0.002632433082908392","0.0013215537182986736","0.0013215537182986736","0.0013215537182986736"
"161","49246.5","49246","49247","0.002740028314292431","0.002740028314292431","0.002740028314292431","0.001387266325764358","0.001387266325764358","0.001387266325764358"
"162","49550.5","49550","49551","0.002847623312845826","0.002847623312845826","0.002847623312845826","0.0014091705670580268","0.0014091705670580268","0.0014091705670580268"
"163","49854.5","49854","49855","0.0026926135178655386","0.0026926135178655386","0.0026926135178655386","0.0012631425634026527","0.0012631425634026527","0.0012631425634026527"
"164","50158.5","50158","50159","0.0029050682205706835","0.0029050682205706835","0.0029050682205706835","0.001168224262073636","0.001168224262073636","0.001168224262073636"
"165","50462.5","50462","50463","0.0027473228983581066","0.0027473228983581066","0.0027473228983581066","0.001241238322108984","0.001241238322108984","0.001241238322108984"
"166","50766.5","50766","50767","0.002890479052439332","0.002890479052439332","0.002890479052439332","0.0011171144433319569","0.0011171144433319569","0.0011171144433319569"
"167","51070.5","51070","51071","0.00251571973785758","0.00251571973785758","0.00251571973785758","0.001168224262073636","0.001168224262073636","0.001168224262073636"
"168","51374.5","51374","51375","0.00250021880492568","0.00250021880492568","0.00250021880492568","0.0011974299559369683","0.0011974299559369683","0.0011974299559369683"
"169","51678.5","51678","51679","0.002594136632978916","0.002594136632978916","0.002594136632978916","0.0012704438995569944","0.0012704438995569944","0.0012704438995569944"
"170","51982.5","51982","51983","0.0025868420489132404","0.0025868420489132404","0.0025868420489132404","0.0013288551708683372","0.0013288551708683372","0.0013288551708683372"
"171","52286.5","52286","52287","0.0025868420489132404","0.0025868420489132404","0.0025868420489132404","0.001241238322108984","0.001241238322108984","0.001241238322108984"
"172","52590.5","52590","52591","0.0027217918541282415","0.0027217918541282415","0.0027217918541282415","0.0011755257146432996","0.0011755257146432996","0.0011755257146432996"
"173","52894.5","52894","52895","0.002615108620375395","0.002615108620375395","0.002615108620375395","0.0012339368695393205","0.0012339368695393205","0.0012339368695393205"
"174","53198.5","53198","53199","0.0027610003016889095","0.0027610003016889095","0.0027610003016889095","0.0012704438995569944","0.0012704438995569944","0.0012704438995569944"
"175","53502.5","53502","53503","0.002975278766825795","0.002975278766825795","0.002975278766825795","0.0015990070533007383","0.0015990070533007383","0.0015990070533007383"
"176","53806.5","53806","53807","0.002568605588749051","0.002568605588749051","0.002568605588749051","0.0014456775970757008","0.0014456775970757008","0.0014456775970757008"
"177","54110.5","54110","54111","0.002553104655817151","0.002553104655817151","0.002553104655817151","0.0013215537182986736","0.0013215537182986736","0.0013215537182986736"
"178","54414.5","54414","54415","0.002697172574698925","0.002697172574698925","0.002697172574698925","0.0013580607483163476","0.0013580607483163476","0.0013580607483163476"
"179","54718.5","54718","54719","0.0025968721602112055","0.0025968721602112055","0.0025968721602112055","0.0013945677783340216","0.0013945677783340216","0.0013945677783340216"
"180","55022.5","55022","55023","0.0026178439147770405","0.0026178439147770405","0.0026178439147770405","0.001679322449490428","0.001679322449490428","0.001679322449490428"
"181","55326.5","55326","55327","0.0025421627797186375","0.0025421627797186375","0.0025421627797186375","0.001277745352126658","0.001277745352126658","0.001277745352126658"
"182","55630.5","55630","55631","0.0025676938239485025","0.0025676938239485025","0.0025676938239485025","0.001350759295746684","0.001350759295746684","0.001350759295746684"
"183","55934.5","55934","55935","0.002724527381360531","0.002724527381360531","0.002724527381360531","0.0012996494770050049","0.0012996494770050049","0.0012996494770050049"
"184","56238.5","56238","56239","0.002779236761853099","0.002779236761853099","0.002779236761853099","0.0013288551708683372","0.0013288551708683372","0.0013288551708683372"
"185","56542.5","56542","56543","0.0028403287287801504","0.0028403287287801504","0.0028403287287801504","0.0016209111781790853","0.0016209111781790853","0.0016209111781790853"
"186","56846.5","56846","56847","0.0025403390172868967","0.0025403390172868967","0.0025403390172868967","0.0011828270507976413","0.0011828270507976413","0.0011828270507976413"
"187","57150.5","57150","57151","0.0026570523623377085","0.0026570523623377085","0.0026570523623377085","0.001350759295746684","0.001350759295746684","0.001350759295746684"
"188","57454.5","57454","57455","0.0030792264733463526","0.0030792264733463526","0.0030792264733463526","0.001350759295746684","0.001350759295746684","0.001350759295746684"
