"epoch","MLP_full_Tuned - _step","MLP_full_Tuned - _step__MIN","MLP_full_Tuned - _step__MAX","MLP_full_Tuned - train_loss_epoch","MLP_full_Tuned - train_loss_epoch__MIN","MLP_full_Tuned - train_loss_epoch__MAX","MLP_full_Tuned - val_loss_epoch","MLP_full_Tuned - val_loss_epoch__MIN","MLP_full_Tuned - val_loss_epoch__MAX"
"0","151.5","151","152","10.70478630065918","10.70478630065918","10.70478630065918","1.3087033033370972","1.3087033033370972","1.3087033033370972"
"1","304.5","304","305","0.5963113307952881","0.5963113307952881","0.5963113307952881","0.22697137296199799","0.22697137296199799","0.22697137296199799"
"2","457.5","457","458","0.16715995967388153","0.16715995967388153","0.16715995967388153","0.11740653961896896","0.11740653961896896","0.11740653961896896"
"3","610.5","610","611","0.09019479900598526","0.09019479900598526","0.09019479900598526","0.07164865732192993","0.07164865732192993","0.07164865732192993"
"4","763.5","763","764","0.06549715995788574","0.06549715995788574","0.06549715995788574","0.05803154036402702","0.05803154036402702","0.05803154036402702"
"5","916.5","916","917","0.049234796315431595","0.049234796315431595","0.049234796315431595","0.0319509357213974","0.0319509357213974","0.0319509357213974"
"6","1069.5","1069","1070","0.04219096526503563","0.04219096526503563","0.04219096526503563","0.03452102839946747","0.03452102839946747","0.03452102839946747"
"7","1222.5","1222","1223","0.036914244294166565","0.036914244294166565","0.036914244294166565","0.051328856498003006","0.051328856498003006","0.051328856498003006"
"8","1375.5","1375","1376","0.03646107017993927","0.03646107017993927","0.03646107017993927","0.026431074365973473","0.026431074365973473","0.026431074365973473"
"9","1528.5","1528","1529","0.03553101047873497","0.03553101047873497","0.03553101047873497","0.030556367710232735","0.030556367710232735","0.030556367710232735"
"10","1681.5","1681","1682","0.04952384531497955","0.04952384531497955","0.04952384531497955","0.04303446412086487","0.04303446412086487","0.04303446412086487"
"11","1834.5","1834","1835","0.055244624614715576","0.055244624614715576","0.055244624614715576","0.04933557286858559","0.04933557286858559","0.04933557286858559"
"12","1987.5","1987","1988","0.038575585931539536","0.038575585931539536","0.038575585931539536","0.016990361735224724","0.016990361735224724","0.016990361735224724"
"13","2140.5","2140","2141","0.048824477940797806","0.048824477940797806","0.048824477940797806","0.05060601606965065","0.05060601606965065","0.05060601606965065"
"14","2293.5","2293","2294","0.041495244950056076","0.041495244950056076","0.041495244950056076","0.015018983744084835","0.015018983744084835","0.015018983744084835"
"15","2446.5","2446","2447","0.03627140820026398","0.03627140820026398","0.03627140820026398","0.05720648542046547","0.05720648542046547","0.05720648542046547"
"16","2599.5","2599","2600","0.08826903253793716","0.08826903253793716","0.08826903253793716","0.025379672646522522","0.025379672646522522","0.025379672646522522"
"17","2752.5","2752","2753","0.04049132764339447","0.04049132764339447","0.04049132764339447","0.06737733632326126","0.06737733632326126","0.06737733632326126"
"18","2905.5","2905","2906","0.04792724549770355","0.04792724549770355","0.04792724549770355","0.0143983643501997","0.0143983643501997","0.0143983643501997"
"19","3058.5","3058","3059","0.02203967608511448","0.02203967608511448","0.02203967608511448","0.03062938153743744","0.03062938153743744","0.03062938153743744"
"20","3211.5","3211","3212","0.03194936737418175","0.03194936737418175","0.03194936737418175","0.025138726457953453","0.025138726457953453","0.025138726457953453"
"21","3364.5","3364","3365","0.18163013458251953","0.18163013458251953","0.18163013458251953","0.8574109077453613","0.8574109077453613","0.8574109077453613"
"22","3517.5","3517","3518","0.1071154996752739","0.1071154996752739","0.1071154996752739","0.02345210313796997","0.02345210313796997","0.02345210313796997"
"23","3670.5","3670","3671","0.018579306080937386","0.018579306080937386","0.018579306080937386","0.023203855380415916","0.023203855380415916","0.023203855380415916"
"24","3823.5","3823","3824","0.01986680179834366","0.01986680179834366","0.01986680179834366","0.0243136677891016","0.0243136677891016","0.0243136677891016"
"25","3976.5","3976","3977","0.022602269425988197","0.022602269425988197","0.022602269425988197","0.014281542040407658","0.014281542040407658","0.014281542040407658"
"26","4129.5","4129","4130","0.020472250878810883","0.020472250878810883","0.020472250878810883","0.011645736172795296","0.011645736172795296","0.011645736172795296"
"27","4282.5","4282","4283","0.01639731414616108","0.01639731414616108","0.01639731414616108","0.015223423019051552","0.015223423019051552","0.015223423019051552"
"28","4435.5","4435","4436","0.016752013936638832","0.016752013936638832","0.016752013936638832","0.017486857250332832","0.017486857250332832","0.017486857250332832"
"29","4588.5","4588","4589","0.015939578413963318","0.015939578413963318","0.015939578413963318","0.02172897197306156","0.02172897197306156","0.02172897197306156"
"30","4741.5","4741","4742","0.020242471247911453","0.020242471247911453","0.020242471247911453","0.015259929932653904","0.015259929932653904","0.015259929932653904"
"31","4894.5","4894","4895","0.025122549384832382","0.025122549384832382","0.025122549384832382","0.015230724588036537","0.015230724588036537","0.015230724588036537"
"32","5047.5","5047","5048","0.04150345176458359","0.04150345176458359","0.04150345176458359","0.057469334453344345","0.057469334453344345","0.057469334453344345"
"33","5200.5","5200","5201","0.054631877690553665","0.054631877690553665","0.054631877690553665","0.03008907660841942","0.03008907660841942","0.03008907660841942"
"34","5353.5","5353","5354","0.01590948924422264","0.01590948924422264","0.01590948924422264","0.026445677503943443","0.026445677503943443","0.026445677503943443"
"35","5506.5","5506","5507","0.01301809772849083","0.01301809772849083","0.01301809772849083","0.010127044282853603","0.010127044282853603","0.010127044282853603"
"36","5659.5","5659","5660","0.016296101734042168","0.016296101734042168","0.016296101734042168","0.02552570030093193","0.02552570030093193","0.02552570030093193"
"37","5812.5","5812","5813","0.026911545544862747","0.026911545544862747","0.026911545544862747","0.03633907809853554","0.03633907809853554","0.03633907809853554"
"38","5965.5","5965","5966","0.04626043140888214","0.04626043140888214","0.04626043140888214","0.03286360949277878","0.03286360949277878","0.03286360949277878"
"39","6118.5","6118","6119","0.029921473935246468","0.029921473935246468","0.029921473935246468","0.017815420404076576","0.017815420404076576","0.017815420404076576"
"40","6271.5","6271","6272","0.02234969474375248","0.02234969474375248","0.02234969474375248","0.0904935747385025","0.0904935747385025","0.0904935747385025"
"41","6424.5","6424","6425","0.03273535892367363","0.03273535892367363","0.03273535892367363","0.02109375037252903","0.02109375037252903","0.02109375037252903"
"42","6577.5","6577","6578","0.024086717516183853","0.024086717516183853","0.024086717516183853","0.0450715534389019","0.0450715534389019","0.0450715534389019"
"43","6730.5","6730","6731","0.07440658658742905","0.07440658658742905","0.07440658658742905","0.0368574783205986","0.0368574783205986","0.0368574783205986"
"44","6883.5","6883","6884","0.018574748188257217","0.018574748188257217","0.018574748188257217","0.00937500037252903","0.00937500037252903","0.00937500037252903"
"45","7036.5","7036","7037","0.012501094490289688","0.012501094490289688","0.012501094490289688","0.011952394619584084","0.011952394619584084","0.011952394619584084"
"46","7189.5","7189","7190","0.05158547684550285","0.05158547684550285","0.05158547684550285","0.019757593050599098","0.019757593050599098","0.019757593050599098"
